Name,Height,Reach,Stance,Weight,Opponent,No.,Result,Record,Type,"Round, time",Date,Location,Notes,Age,"Round(s), time"
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Kim Ye-joon,29,Win,29–0,KO,"4 (12), 2:25",24 Jan 2025,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",TJ Doheny,28,Win,28–0,TKO,"7 (12), 0:16",3 Sep 2024,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Luis Nery,27,Win,27–0,KO,"6 (12), 1:39",6 May 2024,"Tokyo Dome, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Marlon Tapales,26,Win,26–0,KO,"10 (12), 1:02",26 Dec 2023,"Ariake Arena, Tokyo, Japan","Retained WBC and WBO super bantamweight titles; Won WBA (Super), IBF, and vacant The Ring super bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Stephen Fulton,25,Win,25–0,TKO,"8 (12), 1:14",25 Jul 2023,"Ariake Arena, Tokyo, Japan",Won WBC and WBO super bantamweight titles,,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Paul Butler,24,Win,24–0,KO,"11 (12), 1:09",13 Dec 2022,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, and The Ring bantamweight titles; Won WBO bantamweight title",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Nonito Donaire,23,Win,23–0,TKO,"2 (12), 1:24",7 Jun 2022,"Super Arena, Saitama, Japan","Retained WBA (Super), IBF, and The Ring bantamweight titles; Won WBC bantamweight title",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Aran Dipaen,22,Win,22–0,TKO,"8 (12), 2:34",14 Dec 2021,"Ryōgoku Kokugikan, Tokyo, Japan","Retained WBA (Super), IBF, and The Ring bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Michael Dasmariñas,21,Win,21–0,KO,"3 (12), 2:45",19 Jun 2021,"Virgin Hotels Las Vegas, Paradise, Nevada, U.S.","Retained WBA (Super), IBF, and The Ring bantamweight titles",,
Naoya Inoue,5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Jason Moloney,20,Win,20–0,KO,"7 (12), 2:59",31 Oct 2020,"MGM Grand Conference Center, Paradise, Nevada, U.S.","Retained WBA (Super), IBF, and The Ring bantamweight titles",,
