name,scraped
Canelo Álvarez,False
Gennady Golovkin,False
Floyd Mayweather Jr.,False
Manny Pacquiao,False
Mike Tyson,False
Muhammad Ali,False
Tyson Fury,False
Anthony Joshua,False
Deontay Wilder,False
Vasiliy Lomachenko,False
Terence Crawford,False
Errol Spence Jr.,False
Oleksandr Usyk,False
Artur Beterbiev,False
Dmitry Bivol,False
Shakur Stevenson,False
Teofimo Lopez,False
Devin Haney,False
Ryan Garcia,False
Gervonta Davis,False
Naoya Inoue,False
Nonito Donaire,False
Oscar De La Hoya,False
Bernard Hopkins,False
Roy Jones Jr.,False
Julio César Chávez,False
Evander Holyfield,False
Lennox Lewis,False
Ricky Hatton,False
Sugar Ray Leonard,False
Marvin Hagler,False
Thomas Hearns,False
Roberto Durán,False
George Foreman,False
Joe Frazier,False
Sonny Liston,False
Wladimir Klitschko,False
Vitali Klitschko,False
Andre Ward,False
Zab Judah,False
Shane Mosley,False
Juan Manuel Márquez,False
Miguel Cotto,False
Paulie Malignaggi,False
Naseem Hamed,False
Felix Trinidad,False
Carlos Monzón,False
Erislandy Lara,False
Daniel Jacobs,False
Sergey Kovalev,False
Callum Smith,False
Billy Joe Saunders,False
Caleb Plant,False
William Scull,False
Rocky Fielding,False
Erislandy Lara,False
Austin Trout,False
Alfredo Angulo,False
Matthew Hatton,False
Carlos Baldomir,False
Kermit Cintrón,False
Josesito López,False
Liam Smith,False
Amir Khan,False
Julio César Chávez Jr.,False
James Kirkland,False
Alfredo Angulo,False
Shane Mosley,False
Miguel Cotto,False
Floyd Mayweather Jr.,False
Gennady Golovkin,False
Daniel Jacobs,False
Sergey Kovalev,False
Callum Smith,False
Billy Joe Saunders,False
Caleb Plant,False
Dmitry Bivol,False
John Ryder,False
Jermell Charlo,False
Gennady Golovkin,False
Kassim Ouma,False
Marco Antonio Rubio,False
David Lemieux,False
Kell Brook,False
Daniel Jacobs,False
Canelo Álvarez,False
Steve Rolls,False
Sergiy Derevyanchenko,False
Kamil Szeremeta,False
Ryōta Murata,False
Floyd Mayweather Jr.,False
Manny Pacquiao,False
Oscar De La Hoya,False
Shane Mosley,False
Miguel Cotto,False
Ricky Hatton,False
Juan Manuel Márquez,False
Zab Judah,False
Carlos Baldomir,False
Arturo Gatti,False
Diego Corrales,False
José Luis Castillo,False
Genaro Hernández,False
Manny Pacquiao,False
Juan Manuel Márquez,False
Erik Morales,False
Marco Antonio Barrera,False
Oscar De La Hoya,False
Ricky Hatton,False
Miguel Cotto,False
Antonio Margarito,False
Shane Mosley,False
Timothy Bradley,False
