Height,Reach,Stance,Weight,Name
5 ft 7+1⁄2 in (171 cm)[1],70+1⁄2 in (179 cm)[1],Orthodox,"Welterweight
Light middleweight
Middleweight
Super middleweight
Light heavyweight",Canelo Álvarez
5 ft 10+1⁄2 in (179 cm)[1],70 in (178 cm)[1],Orthodox,"Middleweight
Super middleweight",Gennady Golovkin
5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,"Super featherweight
Lightweight
Light welterweight
Welterweight
Light middleweight",Floyd Mayweather Jr.
5 ft 5 in (165 cm)[4],67 in (170 cm)[4],Southpaw,"List
 Light flyweight
 Flyweight
 Super bantamweight
 Featherweight
 Super featherweight
 Lightweight
 Light welterweight
 Welterweight
 Light middleweight",Manny Pacquiao
5 ft 10 in (178 cm)[1][2][nb 1],71 in (180 cm)[3],Orthodox,Heavyweight,Mike Tyson
6 ft 3 in (191 cm)[1],78 in (198 cm)[1],Orthodox,Heavyweight,Muhammad Ali
6 ft 9 in (206 cm)[1],85 in (216 cm)[1],Orthodox[a],Heavyweight,Tyson Fury
6 ft 6 in (198 cm)[1],82 in (208 cm)[1],Orthodox,Heavyweight,Anthony Joshua
6 ft 7 in (201 cm)[1],83 in (211 cm)[1],Orthodox,Heavyweight,Deontay Wilder
5 ft 7 in (170 cm)[1],65+1⁄2 in (166 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Vasiliy Lomachenko
5 ft 8 in (173 cm)[1],74 in (188 cm)[1],Southpaw[a],"Lightweight
Light welterweight
Welterweight
Light middleweight",Terence Crawford
5 ft 9 in (175 cm)[1],72 in (183 cm)[1],Southpaw,Welterweight,Errol Spence Jr.
1.91 m (6 ft 3 in)[1],198 cm (78 in)[1],Southpaw,"Cruiserweight
Heavyweight",Oleksandr Usyk
5 ft 11+1⁄2 in (182 cm)[1],73 in (185 cm)[1],Orthodox,Light-heavyweight,Artur Beterbiev
6 ft 0 in (183 cm)[1],72 in (183 cm)[1],Orthodox,Light-heavyweight,Dmitry Bivol
5 ft 8 in (173 cm)[1],68 in (173 cm)[1],Southpaw,"Featherweight
Super featherweight
Lightweight",Shakur Stevenson
5 ft 8 in (173 cm)[1],68+1⁄2 in (174 cm)[1],Orthodox,"Lightweight
Light welterweight",Teofimo Lopez
5 ft 8 in (173 cm)[1],72 in (183 cm)[1],Orthodox,"Lightweight
Light welterweight
Catchweight",Devin Haney
5 ft 8+1⁄2 in (174 cm)[1],70 in (178 cm)[1],Orthodox,"Super featherweight
Lightweight
Light welterweight
Welterweight",Ryan Garcia
5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Southpaw,"Super featherweight
Lightweight
Light welterweight",Gervonta Davis
5 ft 5 in (165 cm)[1],67+1⁄2 in (171 cm)[1],Orthodox,"Light flyweight
Super flyweight
Bantamweight
Super bantamweight",Naoya Inoue
5 ft 6 in (168 cm)[1],68 in (173 cm)[1],Orthodox,"Flyweight
Super flyweight
Bantamweight
Super bantamweight
Featherweight",Nonito Donaire
5 ft 11 in (180 cm) in[2],73 in (185 cm)[2],Orthodox,"Super featherweight
Lightweight
Light welterweight
Welterweight
Light middleweight
Middleweight",Oscar De La Hoya
6 ft 1 in (185 cm)[1],71 in (180 cm)[1],Orthodox,"Middleweight
Light heavyweight",Bernard Hopkins
5 ft 11 in (180 cm)[1],74 in (188 cm)[1],Orthodox,"Middleweight
Super middleweight
Light heavyweight
Cruiserweight
Heavyweight",Roy Jones Jr.
5 ft 7+1⁄2 in (171 cm)[1],68 in (173 cm)[1],Orthodox,"Super featherweight
Lightweight
Light welterweight
Welterweight",Julio César Chávez
6 ft 2+1⁄2 in (189 cm)[1],77+1⁄2 in (197 cm)[1],Orthodox,"Cruiserweight
Heavyweight",Evander Holyfield
6 ft 5 in (196 cm)[1],84 in (213 cm)[1],Orthodox,Heavyweight,Lennox Lewis
5 ft 6 in (168 cm)[1],65 in (165 cm)[1],Orthodox,"Light-welterweight
Welterweight",Ricky Hatton
5 ft 10 in (178 cm)[1],74 in (188 cm)[1],Orthodox,"Welterweight
Light middleweight
Middleweight
Super middleweight
Light heavyweight",Sugar Ray Leonard
5 ft 10 in (178 cm)[1],75 in (191 cm)[1],Southpaw[a],Middleweight,Marvin Hagler
6 ft 1 in (185 cm),78 in (198 cm)[1],Orthodox,"Welterweight
Light middleweight
Middleweight
Super middleweight
Light heavyweight
Cruiserweight",Thomas Hearns
5 ft 7 in (170 cm)[1],66 in (168 cm)[1],Orthodox,"Super featherweight
Lightweight
Light welterweight
Welterweight
Light middleweight
Middleweight
Super middleweight
Light heavyweight",Roberto Durán
6 ft 3 in (191 cm)[1],78 in (198 cm)[1],Orthodox,Heavyweight,George Foreman
5 ft 11+1⁄4 in (181 cm)[1][2],73+1⁄2 in (187 cm)[1],Orthodox,Heavyweight,Joe Frazier
6 ft 1 in (185 cm) ft,84 in (213 cm)[1][2][nb 1],Orthodox,Heavyweight,Sonny Liston
1.98 m (6 ft 6 in)[1],206 cm (81 in)[2],Orthodox,Heavyweight,Wladimir Klitschko
2.01 m (6 ft 7 in)[3],203 cm (80 in),Orthodox,Heavyweight,Vitali Klitschko
6 ft 0 in (183 cm)[1],71 in (180 cm),Orthodox,"Super middleweight
Light heavyweight",Andre Ward
5 ft 7 in (170 cm)[1],72 in (183 cm)[1],Southpaw,"Light welterweight
Welterweight
Light middleweight",Zab Judah
5 ft 9 in (175 cm)[1],74 in (188 cm)[1],Orthodox,"Lightweight
Welterweight
Light middleweight",Shane Mosley
5 ft 7 in (170 cm),67 in (170 cm),Orthodox,"Featherweight
Super featherweight
Lightweight
Light welterweight
Welterweight",Juan Manuel Márquez
5 ft 8 in (173 cm)[1],67 in (170 cm)[2],Orthodox,"Light welterweight
Welterweight
Light middleweight
Middleweight",Miguel Cotto
5 ft 8 in (173 cm),70 in (178 cm),,"Light welterweight
Welterweight",Paulie Malignaggi
5 ft 3 in (160 cm)[1][2],63 in (160 cm)[1],Southpaw,"Bantamweight
Super-bantamweight
Featherweight",Naseem Hamed
5 ft 11 in (180 cm)[1],72 in (183 cm)[1],Orthodox,"Welterweight
Light middleweight
Middleweight",Felix Trinidad
181 cm (5 ft 11 in),193 cm (76 in),Orthodox,Middleweight,Carlos Monzón
