name,scraped
Canelo Álvarez,True
Gennady Golovkin,True
Floyd Mayweather Jr.,True
Manny Pacquiao,True
Mike Tyson,True
Muhammad Ali,True
Tyson Fury,True
Anthony Joshua,True
Deontay Wilder,True
Vasiliy Lomachenko,True
Terence Crawford,True
Errol Spence Jr.,True
Oleksandr Usyk,True
Artur Beterbiev,True
Dmitry Bivol,True
Shakur Stevenson,True
Teofimo Lopez,True
Devin Haney,True
Ryan Garcia,True
Gervonta Davis,True
Naoya Inoue,True
Nonito Donaire,True
Oscar De La Hoya,True
Bernard Hopkins,True
Roy Jones Jr.,True
Julio César Chávez,True
Evander Holyfield,True
Lennox Lewis,True
Ricky Hatton,True
Sugar Ray Leonard,True
Marvin Hagler,True
Thomas Hearns,True
Roberto Durán,True
George Foreman,True
Joe Frazier,True
Sonny Liston,True
Wladimir Klitschko,True
Vitali Klitschko,True
Andre Ward,True
Zab Judah,True
Shane Mosley,True
Juan Manuel Márquez,True
Miguel Cotto,True
Paulie Malignaggi,True
Naseem Hamed,True
Felix Trinidad,True
Carlos Monzón,True
