No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
32,Win,32–0,Sergey Kovalev,TKO,"8 (12), 2:29","Jun 17, 2017","Mandalay Bay Events Center, Paradise, Nevada, U.S.","Retained WBA (Super), IBF, and WBO light heavyweight titles; Won vacant The Ring light heavyweight title"
31,Win,31–0,Sergey Kovalev,UD,12,"Nov 19, 2016","T-Mobile Arena, Paradise, Nevada, U.S.","Won WBA (Super), IBF, and WBO light heavyweight titles"
30,Win,30–0,Alexander Brand,UD,12,"Aug 6, 2016","Oracle Arena, Oakland, California, U.S.",Won vacant WBO International light heavyweight title
29,Win,29–0,Sullivan Barrera,UD,12,"Mar 26, 2016","Oracle Arena, Oakland, California, U.S.",
28,Win,28–0,Paul Smith,TKO,"9 (12), 1:45","Jun 20, 2015","Oracle Arena, Oakland, California, U.S.",
27,Win,27–0,Edwin Rodríguez,UD,12,"Nov 16, 2013","Citizens Business Bank Arena, Ontario, California, U.S.",Retained WBA (Super) and The Ring super middleweight titles
26,Win,26–0,Chad Dawson,TKO,"10 (12), 2:45","Sep 8, 2012","Oracle Arena, Oakland, California, U.S.","Retained WBA (Super), WBC, and The Ring super middleweight titles"
25,Win,25–0,Carl Froch,UD,12,"Dec 17, 2011","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Retained WBA (Super) super middleweight title; Won WBC and vacant The Ring super middleweight titles; Super Six World Boxing Classic: final
24,Win,24–0,Arthur Abraham,UD,12,"May 14, 2011","Home Depot Center, Carson, California, U.S.",Retained WBA (Super) super middleweight title; Super Six World Boxing Classic: semi-final
23,Win,23–0,Sakio Bika,UD,12,"Nov 27, 2010","Oracle Arena, Oakland, California, U.S.",Retained WBA (Super) super middleweight title
22,Win,22–0,Allan Green,UD,12,"Jun 19, 2010","Oracle Arena, Oakland, California, U.S.",Retained WBA (Super) super middleweight title; Super Six World Boxing Classic: group stage 2
21,Win,21–0,Mikkel Kessler,TD,"11 (12), 1:42","Nov 21, 2009","Oracle Arena, Oakland, California, U.S.",Won WBA (Super) super middleweight title; Super Six World Boxing Classic: group stage 1; Unanimous TD: Kessler cut from accidental head clashes
20,Win,20–0,Shelby Pudwill,TKO,"3 (10), 2:16","Sep 12, 2009","Pechanga Resort & Casino, Temecula, California, U.S.",
19,Win,19–0,Edison Miranda,UD,12,"May 16, 2009","Oracle Arena, Oakland, California, U.S.",Retained NABF and WBO–NABO super middleweight titles
18,Win,18–0,Henry Buchanan,UD,12,"Feb 6, 2009","Tachi Palace Hotel & Casino, Lemoore, California, U.S.",Won WBO–NABO super middleweight title; Won vacant NABF super middleweight title
17,Win,17–0,Esteban Camou,TKO,"3 (10), 2:46","Dec 13, 2008","Morongo Casino Resort & Spa, Cabazon, California, U.S.",
16,Win,16–0,Jerson Ravelo,TKO,"8 (12), 2:37","Jun 20, 2008","Royal Watler Cruise Terminal, George Town, Cayman Islands",Won vacant WBO–NABO super middleweight title
15,Win,15–0,Rubin Williams,TKO,"7 (10), 2:51","Mar 20, 2008","HP Pavilion, San Jose, California, U.S.",
14,Win,14–0,Roger Cantrell,TKO,"5 (10), 1:56","Nov 16, 2007","Beausejour Stadium, Gros Islet, Saint Lucia",
13,Win,13–0,Francisco Diaz,TKO,"3 (8), 2:59","Jul 14, 2007","Home Depot Center, Carson, California, U.S.",
12,Win,12–0,Dhafir Smith,TKO,"6 (8), 2:47","May 17, 2007","Tachi Palace Hotel & Casino, Lemoore, California, U.S.",
11,Win,11–0,Julio Jean,TKO,"3 (8), 2:04","Mar 29, 2007","HP Pavilion, San Jose, California, U.S.",
10,Win,10–0,Derrick Findley,UD,6,"Nov 16, 2006","HP Pavilion, San Jose, California, U.S.",
9,Win,9–0,Andy Kolle,RTD,"6 (8), 3:00","Apr 29, 2006","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
8,Win,8–0,Kendall Gould,UD,6,"Feb 23, 2006","Tachi Palace Hotel & Casino, Lemoore, California, U.S.",
7,Win,7–0,Darnell Boone,UD,6,"Nov 19, 2005","Rose Garden, Portland, Oregon, U.S.",
6,Win,6–0,Glenn LaPlante,KO,"1 (6), 2:59","Oct 1, 2005","St. Pete Times Forum, Tampa, Florida, U.S.",
5,Win,5–0,Christopher Holt,RTD,"3 (6), 3:00","Aug 18, 2005","HP Pavilion, San Jose, California, U.S.",
4,Win,4–0,Ben Aragon,TKO,"3 (6), 0:59","Jun 18, 2005","FedExForum, Memphis, Tennessee, U.S.",
3,Win,3–0,Roy Ashworth,DQ,"3 (6), 2:56","Apr 7, 2005","Pechanga Resort & Casino, Temecula, California, U.S.",Ashworth disqualified for hitting on the break
2,Win,2–0,Kenny Kost,UD,6,"Feb 10, 2005","Palace Indian Gaming Center, Lemoore, California, U.S.",
1,Win,1–0,Chris Molina,TKO,"2 (4), 0:40","Dec 18, 2004","Staples Center, Los Angeles, California, U.S.",
