No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
32,Loss,28–4,Daniel Dubois,KO,"5 (12), 0:59",21 Sep 2024,"Wembley Stadium, London, England",For IBF heavyweight title
31,Win,28–3,Francis Ngannou,KO,"2 (10), 2:38",8 Mar 2024,"Kingdom Arena, Riyadh, Saudi Arabia",
30,Win,27–3,Otto Wallin,RTD,"5 (12), 3:00",23 Dec 2023,"Kingdom Arena, Riyadh, Saudi Arabia",
29,Win,26–3,Robert Helenius,KO,"7 (12), 1:27",12 Aug 2023,"The O2 Arena, London, England",
28,Win,25–3,Jermaine Franklin,UD,12,1 Apr 2023,"The O2 Arena, London, England",
27,Loss,24–3,Oleksandr Usyk,SD,12,20 Aug 2022,"King Abdullah Sports City, Jeddah, Saudi Arabia","For WBA (Super), IBF, WBO, IBO, and vacant The Ring heavyweight titles"
26,Loss,24–2,Oleksandr Usyk,UD,12,25 Sep 2021,"Tottenham Hotspur Stadium, London, England","Lost WBA (Super), IBF, WBO, and IBO heavyweight titles"
25,Win,24–1,Kubrat Pulev,KO,"9 (12), 2:58",12 Dec 2020,"Wembley Arena, London, England","Retained WBA (Super), IBF, WBO, and IBO heavyweight titles"
24,Win,23–1,Andy Ruiz Jr.,UD,12,7 Dec 2019,"Diriyah Arena, Diriyah, Saudi Arabia","Won WBA (Super), IBF, WBO, and IBO heavyweight titles"
23,Loss,22–1,Andy Ruiz Jr.,TKO,"7 (12), 1:33",1 Jun 2019,"Madison Square Garden, New York City, New York, US","Lost WBA (Super), IBF, WBO, and IBO heavyweight titles"
22,Win,22–0,Alexander Povetkin,TKO,"7 (12), 1:59",22 Sep 2018,"Wembley Stadium, London, England","Retained WBA (Super), IBF, WBO, and IBO heavyweight titles"
21,Win,21–0,Joseph Parker,UD,12,31 Mar 2018,"Principality Stadium, Cardiff, Wales","Retained WBA (Super), IBF, and IBO heavyweight titles; Won WBO heavyweight title"
20,Win,20–0,Carlos Takam,TKO,"10 (12), 1:34",28 Oct 2017,"Principality Stadium, Cardiff, Wales","Retained WBA (Super), IBF, and IBO heavyweight titles"
19,Win,19–0,Wladimir Klitschko,TKO,"11 (12), 2:25",29 Apr 2017,"Wembley Stadium, London, England",Retained IBF heavyweight title; Won vacant WBA (Super) and IBO heavyweight titles
18,Win,18–0,Éric Molina,TKO,"3 (12), 2:02",10 Dec 2016,"Manchester Arena, Manchester, England",Retained IBF heavyweight title
17,Win,17–0,Dominic Breazeale,TKO,"7 (12), 1:01",25 Jun 2016,"The O2 Arena, London, England",Retained IBF heavyweight title
16,Win,16–0,Charles Martin,KO,"2 (12), 1:32",9 Apr 2016,"The O2 Arena, London, England",Won IBF heavyweight title
15,Win,15–0,Dillian Whyte,KO,"7 (12), 1:27",12 Dec 2015,"The O2 Arena, London, England",Retained WBC International and Commonwealth heavyweight titles; Won vacant British heavyweight title
14,Win,14–0,Gary Cornish,TKO,"1 (12), 1:37",12 Sep 2015,"The O2 Arena, London, England",Retained WBC International heavyweight title; Won vacant Commonwealth heavyweight title
13,Win,13–0,Kevin Johnson,TKO,"2 (10), 1:22",30 May 2015,"The O2 Arena, London, England",Retained WBC International heavyweight title
12,Win,12–0,Raphael Zumbano Love,TKO,"2 (8), 1:21",9 May 2015,"Barclaycard Arena, Birmingham, England",
11,Win,11–0,Jason Gavern,KO,"3 (8), 1:21",4 Apr 2015,"Metro Radio Arena, Newcastle, England",
10,Win,10–0,Michael Sprott,TKO,"1 (10), 1:26",22 Nov 2014,"Echo Arena, Liverpool, England",
9,Win,9–0,Denis Bakhtov,TKO,"2 (10), 1:00",11 Oct 2014,"The O2 Arena, London, England",Won vacant WBC International heavyweight title
8,Win,8–0,Konstantin Airich,TKO,"3 (8), 1:16",13 Sep 2014,"Phones 4u Arena, Manchester, England",
7,Win,7–0,Matt Skelton,TKO,"2 (6), 2:33",12 Jul 2014,"Echo Arena, Liverpool, England",
6,Win,6–0,Matt Legg,KO,"1 (6), 1:23",31 May 2014,"Wembley Stadium, London, England",
5,Win,5–0,Hector Alfredo Avila,KO,"1 (6), 2:14",1 Mar 2014,"Exhibition and Conference Centre, Glasgow, Scotland",
4,Win,4–0,Dorian Darch,TKO,"2 (6), 0:51",1 Feb 2014,"Motorpoint Arena, Cardiff, Wales",
3,Win,3–0,Hrvoje Kisiček,TKO,"2 (6), 1:38",14 Nov 2013,"York Hall, London, England",
2,Win,2–0,Paul Butlin,TKO,"2 (6), 0:50",26 Oct 2013,"Motorpoint Arena, Sheffield, England",
1,Win,1–0,Emanuele Leo,TKO,"1 (6), 2:47",5 Oct 2013,"The O2 Arena, London, England",
