No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
22,Loss,21–1,Dmitry Bivol,MD,12,22 Feb 2025,"The Venue Riyadh Season, Riyadh, Saudi Arabia","Lost WBA (Super), WBC, IBF, WBO, IBO, and The Ring light-heavyweight titles"
21,Win,21–0,Dmitry Bivol,MD,12,12 Oct 2024,"Kingdom Arena, Riyadh, Saudi Arabia","Retained WBC, IBF, and WBO light-heavyweight titles; Won WBA (Super), IBO, and vacant The Ring light-heavyweight titles"
20,Win,20–0,Callum Smith,TKO,"7 (12), 2:00",13 Jan 2024,"Videotron Centre, Quebec City, Canada","Retained WBC, IBF, and WBO light-heavyweight titles"
19,Win,19–0,Anthony Yarde,TKO,"8 (12), 2:01",28 Jan 2023,"OVO Arena Wembley, London, England","Retained WBC, IBF, and WBO light-heavyweight titles"
18,Win,18–0,Joe Smith Jr.,TKO,"2 (12), 2:19",18 Jun 2022,"Hulu Theater, New York City, New York, U.S.",Retained WBC and IBF light-heavyweight titles; Won WBO light-heavyweight title
17,Win,17–0,Marcus Browne,KO,"9 (12), 0:46",17 Dec 2021,"Bell Centre, Montreal, Quebec, Canada",Retained WBC and IBF light-heavyweight titles
16,Win,16–0,Adam Deines,TKO,"10 (12), 1:30",20 Mar 2021,"Khodynka Ice Palace, Moscow, Russia",Retained WBC and IBF light-heavyweight titles
15,Win,15–0,Oleksandr Gvozdyk,TKO,"10 (12), 2:49",18 Oct 2019,"Liacouras Center, Philadelphia, Pennsylvania, U.S.",Retained IBF light-heavyweight title; Won WBC light-heavyweight title
14,Win,14–0,Radivoje Kalajdzic,KO,"5 (12), 0:13",4 May 2019,"Stockton Arena, Stockton, California, U.S.",Retained IBF light-heavyweight title
13,Win,13–0,Callum Johnson,KO,"4 (12), 2:36",6 Oct 2018,"Wintrust Arena, Chicago, Illinois, U.S.",Retained IBF light-heavyweight title
12,Win,12–0,Enrico Kölling,KO,"12 (12), 2:33",11 Nov 2017,"Save Mart Arena, Fresno, California, U.S.",Won vacant IBF light-heavyweight title
11,Win,11–0,Isidro Ranoni Prieto,TKO,"1 (12), 2:44",23 Dec 2016,"Casino du Lac-Leamy, Gatineau, Quebec, Canada",Retained NABA light-heavyweight title
10,Win,10–0,Ezequiel Maderna,TKO,"4 (12), 0:54",4 Jun 2016,"Bell Centre, Montreal, Quebec, Canada",Retained NABA light-heavyweight title
9,Win,9–0,Alexander Johnson,TKO,"7 (10), 1:38",12 Jun 2015,"UIC Pavilion, Chicago, Illinois, U.S.",Retained NABA light-heavyweight title; Won vacant WBO International light-heavyweight title
8,Win,8–0,Gabriel Campillo,KO,"4 (12), 0:37",4 Apr 2015,"Colisée Pepsi, Quebec City, Quebec, Canada",Retained IBF North American light-heavyweight title
7,Win,7–0,Jeff Page Jr.,TKO,"2 (10), 2:21",19 Dec 2014,"Colisée Pepsi, Quebec City, Quebec, Canada",Retained NABA light heavyweight title; Won vacant IBF North American and NABO light-heavyweight titles
6,Win,6–0,Tavoris Cloud,KO,"2 (12), 0:38",27 Sep 2014,"Bell Centre, Montreal, Quebec, Canada",Won vacant NABA light-heavyweight title
5,Win,5–0,Alvaro Enriquez,TKO,"1 (6), 2:38",22 Aug 2014,"Complexe Sportif Sportscene, Montreal, Quebec, Canada",
4,Win,4–0,Gabriel Lecrosnier,TKO,"4 (6), 2:44",18 Jan 2014,"Bell Centre, Montreal, Quebec, Canada",
3,Win,3–0,Billy Bailey,KO,"1 (6), 2:49",30 Nov 2013,"Colisée Pepsi, Quebec City, Quebec, Canada",
2,Win,2–0,Rayco Saunders,RTD,"3 (6), 3:00",28 Sep 2013,"Bell Centre, Montreal, Quebec, Canada",
1,Win,1–0,Christian Cruz,TKO,"2 (4), 2:21",8 Jun 2013,"Bell Centre, Montreal, Quebec, Canada",
