No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
67,Loss,55–8–2 (2),Joe Smith Jr.,TKO,"8 (12), 0:53","Dec 17, 2016","51 years, 337 days","The Forum, Inglewood, California, U.S.",For WBC International light heavyweight title
66,Loss,55–7–2 (2),Sergey Kovalev,UD,12,"Nov 8, 2014","49 years, 297 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Lost WBA (Super) and IBF light heavyweight titles; For WBO light heavyweight title
65,Win,55–6–2 (2),Beibut Shumenov,SD,12,"Apr 19, 2014","49 years, 94 days","D.C. Armory, Washington, D.C., U.S.","Retained IBF light heavyweight title; Won WBA (Super), and IBA light heavyweight titles"
64,Win,54–6–2 (2),Karo Murat,UD,12,"Oct 26, 2013","48 years, 284 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Retained IBF light heavyweight title
63,Win,53–6–2 (2),Tavoris Cloud,UD,12,"Mar 9, 2013","48 years, 53 days","Barclays Center, New York City, New York, U.S.",Won IBF light heavyweight title
62,Loss,52–6–2 (2),Chad Dawson,MD,12,"Apr 28, 2012","47 years, 104 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Lost WBC and The Ring light heavyweight titles
61,NC,52–5–2 (2),Chad Dawson,NC,"2 (12), 2:48","Oct 15, 2011","46 years, 273 days","Staples Center, Los Angeles, California, U.S.","WBC and The Ring light heavyweight titles at stake; Originally TKO win for Dawson, later ruled NC after an incorrect referee call"
60,Win,52–5–2 (1),Jean Pascal,UD,12,"May 21, 2011","46 years, 126 days","Bell Centre, Montreal, Quebec, Canada",Won WBC and The Ring light heavyweight titles
59,Draw,51–5–2 (1),Jean Pascal,MD,12,"Dec 18, 2010","45 years, 337 days","Colisée Pepsi, Quebec City, Quebec, Canada",For WBC and The Ring light heavyweight titles
58,Win,51–5–1 (1),Roy Jones Jr.,UD,12,"Apr 3, 2010","45 years, 78 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",
57,Win,50–5–1 (1),Enrique Ornelas,UD,12,"Dec 2, 2009","44 years, 321 days","Liacouras Center, Philadelphia, Pennsylvania, U.S.",
56,Win,49–5–1 (1),Kelly Pavlik,UD,12,"Oct 18, 2008","43 years, 277 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",
55,Loss,48–5–1 (1),Joe Calzaghe,SD,12,"Apr 19, 2008","43 years, 95 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Lost The Ring light heavyweight title
54,Win,48–4–1 (1),Winky Wright,UD,12,"Jul 21, 2007","42 years, 187 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained The Ring light heavyweight title
53,Win,47–4–1 (1),Antonio Tarver,UD,12,"Jun 10, 2006","41 years, 146 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Won IBO and The Ring light heavyweight titles
52,Loss,46–4–1 (1),Jermain Taylor,UD,12,"Dec 3, 2005","40 years, 322 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.","For WBA (Undisputed), WBC, WBO, and The Ring middleweight titles"
51,Loss,46–3–1 (1),Jermain Taylor,SD,12,"Jul 16, 2005","40 years, 182 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Lost WBA (Undisputed), WBC, IBF, WBO, and The Ring middleweight titles"
50,Win,46–2–1 (1),Howard Eastman,UD,12,"Feb 19, 2005","40 years, 35 days","Staples Center, Los Angeles, California, U.S.","Retained WBA (Undisputed), WBC, IBF, WBO, and The Ring middleweight titles"
49,Win,45–2–1 (1),Oscar De La Hoya,KO,"9 (12), 1:38","Sep 18, 2004","39 years, 247 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Undisputed), WBC, IBF, and The Ring middleweight titles; Won WBO middleweight title"
48,Win,44–2–1 (1),Robert Allen,UD,12,"Jun 5, 2004","39 years, 142 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Undisputed), WBC, IBF, and The Ring middleweight titles"
47,Win,43–2–1 (1),William Joppy,UD,12,"Dec 13, 2003","38 years, 332 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.","Retained WBA (Undisputed), WBC, IBF, and The Ring middleweight titles"
46,Win,42–2–1 (1),Morrade Hakkar,RTD,"8 (12), 3:00","Mar 29, 2003","38 years, 73 days","Spectrum, Philadelphia, Pennsylvania, U.S.","Retained WBA (Unified), WBC, IBF, and The Ring middleweight titles"
45,Win,41–2–1 (1),Carl Daniels,RTD,"10 (12), 3:00","Feb 2, 2002","37 years, 18 days","Sovereign Center, Reading, Pennsylvania, U.S.","Retained WBA (Super), WBC, IBF, and The Ring middleweight titles"
