No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
100,Win,87–3–9 (1),Rodrigo Valdez,UD,15,30 Jul 1977,"Stade Louis II, Fontvieille, Monte Carlo, Monaco","Retained WBA, WBC, and The Ring middleweight titles"
99,Win,86–3–9 (1),Rodrigo Valdez,UD,15,26 Jun 1976,"Stade Louis II, Fontvieille, Monte Carlo, Monaco",Retained WBA and The Ring middleweight titles; Won WBC middleweight title
98,Win,85–3–9 (1),Gratien Tonna,KO,5 (15),13 Dec 1975,"Nouvelle Hippodrome, Paris, Île-de-France, France",Retained WBA and The Ring middleweight titles
97,Win,84–3–9 (1),Tony Licata,TKO,"10 (15), 2:43",30 Jun 1975,"Madison Square Garden, New York, New York, U.S.",Retained WBA and The Ring middleweight titles
96,Win,83–3–9 (1),Tony Mundine,KO,"7 (15), 1:20",5 Oct 1974,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",Retained WBA and The Ring middleweight titles
95,Win,82–3–9 (1),José Nápoles,RTD,"7 (15), 3:00",9 Feb 1974,"Puteaux, Hauts-de-Seine, France","Retained WBA, WBC, and The Ring middleweight titles"
94,Win,81–3–9 (1),Jean-Claude Bouttier,UD,15,29 Sep 1973,"Stade Roland Garros, Paris, Île-de-France, France","Retained WBA, WBC, and The Ring middleweight titles"
93,Win,80–3–9 (1),Emile Griffith,UD,15,2 Jun 1973,"Stade Louis II, Fontvieille, Monte Carlo, Monaco","Retained WBA, WBC, and The Ring middleweight titles"
92,Win,79–3–9 (1),Roy Dale,KO,"5 (10), 2:40",5 May 1973,"Palazzetto dello Sport, Rome, Lazio, Italy",
91,Win,78–3–9 (1),Bennie Briscoe,UD,15,11 Nov 1972,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina","Retained WBA, WBC, and The Ring middleweight titles"
90,Win,77–3–9 (1),Tom Bogs,TKO,"5 (15), 2:30",19 Aug 1972,"Idrætspark, Copenhagen, Denmark","Retained WBA, WBC, and The Ring middleweight titles"
89,Win,76–3–9 (1),Jean-Claude Bouttier,TKO,"13 (15), 3:00",17 Jun 1972,"Colombes Stadium, Paris, Île-de-France, France","Retained WBA, WBC, and The Ring middleweight titles"
88,Win,75–3–9 (1),Denny Moyer,TKO,"5 (15), 1:50",4 Mar 1972,"Palazzetto dello Sport, Rome, Lazio, Italy","Retained WBA, WBC, and The Ring middleweight titles"
87,Win,74–3–9 (1),Fraser Scott,TKO,"3 (10), 0:01",4 Dec 1971,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
86,Win,73–3–9 (1),Emile Griffith,TKO,"14 (15), 2:32",25 Sep 1971,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina","Retained WBA, WBC, and The Ring middleweight titles"
85,Win,72–3–9 (1),Nino Benvenuti,TKO,"3 (15), 1:05",8 May 1971,"Stade Louis II, Fontvieille, Monte Carlo, Monaco","Retained WBA, WBC, and The Ring middleweight titles"
84,Win,71–3–9 (1),Roy Lee,KO,2 (10),6 Mar 1971,"Santa Fe, Santa Fe, Argentina",
83,Win,70–3–9 (1),Domingo Guerrero,KO,2 (10),19 Feb 1971,"Salta, Salta, Argentina",
82,Win,69–3–9 (1),Charley Austin,KO,"2 (10), 2:09",19 Dec 1970,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
81,Win,68–3–9 (1),Nino Benvenuti,TKO,"12 (15), 1:57",7 Nov 1970,"PalaEur, Rome, Lazio, Italy","Won WBA, WBC, and The Ring middleweight titles"
80,Win,67–3–9 (1),Santiago Rosa,KO,4 (10),19 Sep 1970,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
79,Win,66–3–9 (1),Eddie Pace,PTS,10,18 Jul 1970,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
78,Win,65–3–9 (1),Adolfo Jorge Cardozo,TKO,3 (10),18 Apr 1970,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
77,Win,64–3–9 (1),Juan Aguilar,RTD,9 (10),7 Mar 1970,"Santa Fe, Santa Fe, Argentina",
76,Win,63–3–9 (1),Antonio Aguilar,KO,5 (12),11 Feb 1970,"Mar del Plata, Buenos Aires, Argentina",Retained Argentina (FAB) middleweight title
75,Win,62–3–9 (1),Carlos Estrada,KO,2 (10),12 Dec 1969,"Santa Fe, Santa Fe, Argentina",
74,Win,61–3–9 (1),Manoel Severino,KO,6 (12),27 Sep 1969,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",Retained South American middleweight title
73,Win,60–3–9 (1),Emilio Ale Ali,TKO,7 (10),5 Sep 1969,"San Miguel, Tucumán, Argentina",
72,Win,59–3–9 (1),Tom Bethea,PTS,10,9 Aug 1969,"Buenos Aires, Distrito Federal, Argentina",
71,Win,58–3–9 (1),Harold Richardson,KO,3 (10),5 Jul 1969,"Buenos Aires, Distrito Federal, Argentina",
70,Win,57–3–9 (1),Carlos Alberto Salinas,TKO,7 (10),6 Jun 1969,"Paraná, Entre Ríos, Argentina",
69,Draw,56–3–9 (1),Carlos Alberto Salinas,PTS,10,25 Apr 1969,"Recreativo Bochas Club, Paraná, Entre Ríos, Argentina",
68,Win,56–3–8 (1),Mario Taborda,KO,3 (10),14 Mar 1969,"Club Sportivo, Presidencia Roque Saenz Pena, Chaco, Argentina",
67,Win,55–3–8 (1),Ruben Orrico,KO,9 (12),10 Jan 1969,"Santa Fe, Santa Fe, Argentina",Retained South American middleweight title
66,Win,54–3–8 (1),Emilio Ale Ali,PTS,10,20 Dec 1968,"Mendoza, Mendoza, Argentina",
65,Win,53–3–8 (1),Johnny Brooks,PTS,10,7 Dec 1968,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
64,Win,52–3–8 (1),Charley Austin,UD,10,23 Oct 1968,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
63,Win,51–3–8 (1),Doug Huntley,KO,4 (10),14 Aug 1968,"Buenos Aires, Distrito Federal, Argentina",
62,Win,50–3–8 (1),Benito Sanchez,KO,4 (10),5 Jul 1968,"Chaco, Chaco, Argentina",
61,Win,49–3–8 (1),Juan Aguilar,PTS,10,20 Jun 1968,"Buenos Aires, Distrito Federal, Argentina",
60,Win,48–3–8 (1),Alberto Massi,PTS,10,17 May 1968,"Córdoba, Córdoba, Argentina",
59,Draw,47–3–8 (1),Juan Aguilar,PTS,10,5 Apr 1968,"Mendoza, Mendoza, Argentina",
58,Win,47–3–7 (1),Tito Marshall,PTS,10,18 Nov 1967,"Buenos Aires, Distrito Federal, Argentina",
57,Win,46–3–7 (1),Ramon D Rocha,KO,7 (10),20 Oct 1967,"San Juan, La Rioja, Argentina",
56,Win,45–3–7 (1),Carlos Estrada,KO,7 (10),6 Oct 1967,"Trelew, Chubut, Argentina",
55,Win,44–3–7 (1),Ramon D Rocha,PTS,10,8 Sep 1967,"Rosario, Santa Fe, Argentina",
54,Win,43–3–7 (1),Tito Marshall,PTS,10,16 Aug 1967,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
53,Win,42–3–7 (1),Antonio Aguilar,KO,9 (10),29 Jul 1967,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
52,Win,41–3–7 (1),Jorge Fernandez,UD,12,10 Jun 1967,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",Won South American middleweight title
51,Draw,40–3–7 (1),Bennie Briscoe,PTS,12,6 May 1967,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
50,Win,40–3–6 (1),Benito Sanchez,TKO,3 (10),9 Apr 1967,"Santa Elena, Entre Ríos, Argentina",
49,Win,39–3–6 (1),Angel Alberto Coria,KO,6 (10),25 Mar 1967,"Mar del Plata, Buenos Aires, Argentina",
48,Win,38–3–6 (1),Osvaldo Marino,KO,7 (10),9 Mar 1967,"Santa Fe, Santa Fe, Argentina",
47,Win,37–3–6 (1),Alberto Massi,PTS,10,15 Feb 1967,"San Francisco, Santa Fe, Argentina",
46,Win,36–3–6 (1),Eudoro Robledo,KO,4 (10),27 Jan 1967,"Charata, Chaco, Argentina",
45,Win,35–3–6 (1),Carlos Alberto Salinas,KO,8 (10),13 Jan 1967,"Santa Fe, Santa Fe, Argentina",
44,Win,34–3–6 (1),Marcelo Farias,KO,3 (10),23 Dec 1966,"San Cristóbal, Santa Fe, Argentina",
43,Win,33–3–6 (1),Alberto Massi,TKO,8 (10),2 Dec 1966,"Santa Fe, Santa Fe, Argentina",
42,Win,32–3–6 (1),Luis Antonio Pereyra,TKO,2 (10),18 Nov 1966,"Santa Fe, Santa Fe, Argentina",
41,Win,31–3–6 (1),Angel Alberto Coria,PTS,10,1 Nov 1966,"Mar del Plata, Buenos Aires, Argentina",
40,Win,30–3–6 (1),Jorge Fernandez,UD,12,3 Sep 1966,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",Won Argentina (FAB) middleweight title
39,Win,29–3–6 (1),Benito Sanchez,KO,4 (10),8 Jul 1966,"San Pereyra, Argentina",
38,Draw,28–3–6 (1),Ubaldo Marcos Bustos,PTS,10,3 Jun 1966,"Río Gallegos, Santa Cruz, Argentina",
37,Win,28–3–5 (1),Ismael Hamze,TKO,9 (10),29 Apr 1966,"San Nicolas, Santiago del Estero, Argentina",
36,Win,27–3–5 (1),Norberto Juncos,KO,7 (10),17 Feb 1966,"Santa Fe, Santa Fe, Argentina",
35,Win,26–3–5 (1),Ramon D Rocha,PTS,10,4 Feb 1966,"Santa Fe, Santa Fe, Argentina",
34,Win,25–3–5 (1),Carlos Alberto Salinas,PTS,10,29 Dec 1965,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
33,Win,24–3–5 (1),Antonio Aguilar,PTS,10,8 Dec 1965,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
32,Win,23–3–5 (1),Celedonio Lima,KO,5 (10),17 Nov 1965,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
31,Win,22–3–5 (1),Gregorio Gomez,PTS,10,6 Oct 1965,"Estadio Luna Park, Buenos Aires, Distrito Federal, Argentina",
30,Draw,21–3–5 (1),Manoel Severino,PTS,8,28 Aug 1965,"Rio de Janeiro, Rio de Janeiro, Brazil",
29,Draw,21–3–4 (1),Manoel Severino,PTS,8,14 Aug 1965,"Rio de Janeiro, Rio de Janeiro, Brazil",
28,Win,21–3–3 (1),Felipe Cambeiro,PTS,8,1 Aug 1965,"São Paulo, São Paulo, Brazil",
27,Win,20–3–3 (1),Alberto Retondo,TKO,8 (10),14 Jul 1965,"Buenos Aires, Distrito Federal, Argentina",
26,Win,19–3–3 (1),Anibal Cordoba,PTS,10,19 May 1965,"Buenos Aires, Distrito Federal, Argentina",
25,Draw,18–3–3 (1),Emilio Ale Ali,PTS,10,9 Apr 1965,"San Miguel, Tucumán, Argentina",
24,Win,18–3–2 (1),Andres Antonio Selpa,PTS,10,11 Mar 1965,"Santa Fe, Santa Fe, Argentina",
23,Draw,17–3–2 (1),Andres Antonio Selpa,PTS,10,8 Jan 1965,"Mar del Plata, Buenos Aires, Argentina",
22,Draw,17–3–1 (1),Celedonio Lima,PTS,10,18 Nov 1964,"Buenos Aires, Distrito Federal, Argentina",
