No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
48,Loss,43–4–1,Zhilei Zhang,TKO,"5 (12), 1:51","Jun 1, 2024","Kingdom Arena, Riyadh, Saudi Arabia",
47,Loss,43–3–1,Joseph Parker,UD,12,"Dec 23, 2023","Kingdom Arena, Riyadh, Saudi Arabia",For WBO Inter-Continental and vacant WBC International heavyweight titles
46,Win,43–2–1,Robert Helenius,KO,"1 (12), 2:57","Oct 15, 2022","Barclays Center, New York City, New York, U.S.",
45,Loss,42–2–1,Tyson Fury,KO,"11 (12), 1:10","Oct 9, 2021","T-Mobile Arena, Paradise, Nevada, U.S.",For WBC and The Ring heavyweight titles
44,Loss,42–1–1,Tyson Fury,TKO,"7 (12), 1:39","Feb 22, 2020","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Lost WBC heavyweight title; For vacant The Ring heavyweight title
43,Win,42–0–1,Luis Ortiz,KO,"7 (12), 2:51","Nov 23, 2019","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC heavyweight title
42,Win,41–0–1,Dominic Breazeale,KO,"1 (12), 2:17","May 18, 2019","Barclays Center, New York City, New York, U.S.",Retained WBC heavyweight title
41,Draw,40–0–1,Tyson Fury,SD,12,"Dec 1, 2018","Staples Center, Los Angeles, California, U.S.",Retained WBC heavyweight title
40,Win,40–0,Luis Ortiz,TKO,"10 (12), 2:05","Mar 3, 2018","Barclays Center, New York City, New York, U.S.",Retained WBC heavyweight title
39,Win,39–0,Bermane Stiverne,KO,"1 (12), 2:59","Nov 4, 2017","Barclays Center, New York City, New York, U.S.",Retained WBC heavyweight title
38,Win,38–0,Gerald Washington,TKO,"5 (12), 1:45","Feb 25, 2017","Legacy Arena, Birmingham, Alabama, U.S.",Retained WBC heavyweight title
37,Win,37–0,Chris Arreola,RTD,"8 (12), 3:00","Jul 16, 2016","Legacy Arena, Birmingham, Alabama, U.S.",Retained WBC heavyweight title
36,Win,36–0,Artur Szpilka,KO,"9 (12), 2:24","Jan 16, 2016","Barclays Center, New York City, New York, U.S.",Retained WBC heavyweight title
35,Win,35–0,Johann Duhaupas,TKO,"11 (12), 0:55","Sep 26, 2015","Legacy Arena, Birmingham, Alabama, U.S.",Retained WBC heavyweight title
34,Win,34–0,Éric Molina,KO,"9 (12), 1:03","Jun 13, 2015","Bartow Arena, Birmingham, Alabama, U.S.",Retained WBC heavyweight title
33,Win,33–0,Bermane Stiverne,UD,12,"Jan 17, 2015","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC heavyweight title
32,Win,32–0,Jason Gavern,RTD,"4 (10), 3:00","Aug 16, 2014","StubHub Center, Carson, California, U.S.",
31,Win,31–0,Malik Scott,KO,"1 (12), 1:36","Mar 15, 2014","Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",
30,Win,30–0,Nicolai Firtha,KO,"4 (10), 1:26","Oct 26, 2013","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Retained WBC Continental Americas heavyweight title
29,Win,29–0,Siarhei Liakhovich,KO,"1 (10), 1:43","Aug 9, 2013","Fantasy Springs Resort Casino, Indio, California, U.S.",Retained WBC Continental Americas heavyweight title
28,Win,28–0,Audley Harrison,TKO,"1 (12), 1:10","Apr 27, 2013","Motorpoint Arena, Sheffield, England",
27,Win,27–0,Matthew Greer,TKO,"2 (8), 1:16","Jan 19, 2013","Centro de Convenciones, Villahermosa, Mexico",
26,Win,26–0,Kelvin Price,KO,"3 (10), 0:51","Dec 15, 2012","Memorial Sports Arena, Los Angeles, California, U.S.",Won vacant WBC Continental Americas heavyweight title
25,Win,25–0,Damon McCreary,KO,"2 (10), 0:55","Sep 8, 2012","The Hangar, Costa Mesa, California, U.S.",
24,Win,24–0,Kertson Manswell,TKO,"1 (10), 2:10","Aug 4, 2012","Civic Center Expo Hall, Mobile, Alabama, U.S.",
23,Win,23–0,Owen Beck,RTD,"3 (8), 3:00","Jun 23, 2012","Killer Buzz Arena, Tuscaloosa, Alabama, U.S.",
22,Win,22–0,Jesse Oltmanns,TKO,"1 (8), 0:26","May 26, 2012","Oasis Hotel Complex, Cancún, Mexico",
21,Win,21–0,Marlon Hayes,TKO,"4 (8), 3:00","Feb 25, 2012","Scottrade Center, St. Louis, Missouri, U.S.",
20,Win,20–0,David Long,KO,"1 (8), 1:17","Nov 26, 2011","U.S. Bank Arena, Cincinnati, Ohio, U.S.",
19,Win,19–0,Daniel Cota,KO,"3 (8), 2:55","Nov 5, 2011","Centro de Convenciones, Cancún, Mexico",
18,Win,18–0,Dominique Alexander,TKO,"2 (6), 2:02","Aug 27, 2011","Water Oaks Farm Arena, Tuscaloosa, Alabama, U.S.",
17,Win,17–0,Damon Reed,KO,"2 (6), 1:59","Jun 18, 2011","Tuscaloosa Amphitheater, Tuscaloosa, Alabama, U.S.",
16,Win,16–0,Reggie Pena,TKO,"1 (6), 2:03","May 6, 2011","Fantasy Springs Resort Casino, Indio, California, U.S.",
15,Win,15–0,DeAndrey Abron,TKO,"2 (6), 1:23","Feb 19, 2011","Shelton State Community College, Tuscaloosa, Alabama, U.S.",
14,Win,14–0,Danny Sheehan,KO,"1 (6), 1:48","Dec 2, 2010","Hilton Towers Ballroom, Lafayette, Louisiana, U.S.",
13,Win,13–0,Harold Sconiers,TKO,"4 (6), 1:09","Oct 15, 2010","Fantasy Springs Resort Casino, Indio, California, U.S.",
12,Win,12–0,Shannon Caudle,KO,"1 (6), 1:04","Sep 25, 2010","Fitzgeralds Casino and Hotel, Tunica Resorts, Mississippi, U.S.",
11,Win,11–0,Dustin Nichols,TKO,"1 (6), 3:00","Jul 3, 2010","Club Palace, Hattiesburg, Mississippi, U.S.",
10,Win,10–0,Alvaro Morales,TKO,"3 (6), 1:23","Apr 30, 2010","Tropicana Las Vegas, Paradise, Nevada, U.S.",
9,Win,9–0,Ty Cobb,KO,"1 (6), 0:33","Apr 2, 2010","The Joint, Paradise, Nevada, U.S.",
8,Win,8–0,Jerry Vaughn,KO,"1 (6), 1:02","Nov 28, 2009","Duke Energy Convention Center, Cincinnati, Ohio, U.S.",
7,Win,7–0,Travis Allen,TKO,"1 (4), 1:30","Aug 14, 2009","Desert Diamond Casino, Tucson, Arizona, U.S.",
6,Win,6–0,Kelsey Arnold,KO,"1 (4), 1:13","Jun 26, 2009","Desert Diamond Casino, Tucson, Arizona, U.S.",
5,Win,5–0,Charles Brown,KO,"1 (6), 0:55","May 23, 2009","Duke Energy Convention Center, Cincinnati, Ohio, U.S.",
4,Win,4–0,Joseph Rabotte,KO,"1 (4), 2:33","Apr 24, 2009","UIC Pavilion, Chicago, Illinois, U.S.",
3,Win,3–0,Richard Greene Jr.,RTD,"1 (4), 0:11","Mar 14, 2009","Duke Energy Convention Center, Cincinnati, Ohio, U.S.",
2,Win,2–0,Shannon Gray,TKO,"1 (4), 2:12","Mar 6, 2009","James M. Trotter Convention Center, Columbus, Mississippi, U.S.",
1,Win,1–0,Ethan Cox,TKO,"2 (4), 2:54","Nov 15, 2008","Memorial Gymnasium, Nashville, Tennessee, U.S.",
