No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
33,Win,32–0 (1),José Ramírez,UD,12,"May 2, 2025","Times Square, New York City, New York, U.S.",
32,NC,31–0 (1),Ryan Garcia,NC,12,"Apr 20, 2024","Barclays Center, New York City, New York, U.S.","WBC super lightweight title not at stake as Garcia missed weight; Originally an MD win for Garcia, overturned after he failed a drug test"
31,Win,31–0,Regis Prograis,UD,12,"Dec 9, 2023","Chase Center, San Francisco, California, U.S.",Won WBC super lightweight title
30,Win,30–0,Vasiliy Lomachenko,UD,12,"May 20, 2023","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Super), WBC, IBF, WBO, and The Ring lightweight titles"
29,Win,29–0,George Kambosos Jr.,UD,12,"Oct 16, 2022","Rod Laver Arena, Melbourne, Australia","Retained WBA (Super), WBC, IBF, WBO, and The Ring lightweight titles"
28,Win,28–0,George Kambosos Jr.,UD,12,"Jun 5, 2022","Docklands Stadium, Melbourne, Australia","Retained WBC lightweight title; Won WBA (Super), IBF, WBO, and The Ring lightweight titles"
27,Win,27–0,Joseph Diaz Jr.,UD,12,"Dec 4, 2021","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC lightweight title
26,Win,26–0,Jorge Linares,UD,12,"May 29, 2021","Michelob Ultra Arena, Paradise, Nevada, U.S.",Retained WBC lightweight title
25,Win,25–0,Yuriorkis Gamboa,UD,12,"Nov 7, 2020","Hard Rock Live, Hollywood, Florida, U.S.",Retained WBC lightweight title
24,Win,24–0,Alfredo Santiago,UD,12,"Nov 9, 2019","Staples Center, Los Angeles, California, U.S.",Retained WBC lightweight title
23,Win,23–0,Zaur Abdullaev,RTD,"4 (12), 3:00","Sep 13, 2019","Hulu Theater, New York City, New York, U.S.",Won vacant WBC interim lightweight title
22,Win,22–0,Antonio Moran,KO,"7 (12), 2:32","May 25, 2019","MGM National Harbor, Oxon Hill, Maryland, U.S.",Retained WBC International and WBO Inter-Continental lightweight titles; Won vacant WBA International lightweight title
21,Win,21–0,Xolisani Ndongeni,UD,10,"Jan 11, 2019","StageWorks, Shreveport, Louisiana, U.S.",Won vacant WBC International and WBO Inter-Continental lightweight titles
20,Win,20–0,Juan Carlos Burgos,UD,10,"Sep 28, 2018","Pechanga Resort & Casino, Temecula, California, U.S.",Won vacant IBF North American lightweight title
19,Win,19–0,Mason Menard,RTD,"9 (10), 3:00","May 11, 2018","2300 Arena, Philadelphia, Pennsylvania, U.S.",Won vacant USBA lightweight title
18,Win,18–0,Hamza Sempewo,TKO,"5 (6), 1:39","Nov 4, 2017","Buckhead Fight Club, Atlanta, Georgia, U.S.",
17,Win,17–0,Enrique Tinoco,UD,8,"Sep 22, 2017","SugarHouse Casino, Philadelphia, Pennsylvania, U.S.",
16,Win,16–0,Miguel Angel Perez Aispuro,KO,"5 (8), 1:51","Jun 24, 2017","Agua Caliente Casino Resort Spa, Rancho Mirage, California, U.S.",
15,Win,15–0,Hector Garcia,UD,8,"Apr 15, 2017","Salon Sindicato Alba Roja, Tijuana, Mexico",
14,Win,14–0,Maximino Toala,TKO,"4 (10), 1:34","Mar 4, 2017","Salon Sindicato Alba Roja, Tijuana, Mexico",Won vacant WBC Youth lightweight title
13,Win,13–0,Daniel Armando Valenzuela,KO,"2 (8), 0:56","Jan 28, 2017","AS Boxing Arena, Tijuana, Mexico",
12,Win,12–0,Odilon Rivera Meza,TKO,"1 (8), 1:49","Jan 12, 2017","Escape Bar, Tijuana, Mexico",
11,Win,11–0,Carlos Antonio Avila,TKO,"5 (6), 1:45","Oct 21, 2016","Grand Hotel, Tijuana, Mexico",
10,Win,10–0,Mike Fowler,TKO,"5 (6), 1:19","Sep 15, 2016","2300 Arena, Philadelphia, Pennsylvania, U.S.",
9,Win,9–0,Carlos Castillo,UD,6,"Aug 27, 2016","The Meadows Racetrack and Casino, Washington, Pennsylvania, U.S.",
8,Win,8–0,Javier Meraz,TKO,"2 (6), 1:45","Aug 12, 2016","Grand Hotel, Tijuana, Mexico",
7,Win,7–0,Clay Burns,UD,6,"Jun 25, 2016","Belle of Baton Rouge, Baton Rouge, Louisiana, U.S.",
6,Win,6–0,Jairo Fernandez Vargas,TKO,"4 (6), 1:34","May 21, 2016","Downtown Las Vegas Event Center, Las Vegas, Nevada, U.S.",
5,Win,5–0,Rafael Vazquez,UD,4,"Apr 9, 2016","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
4,Win,4–0,Roman Melendez,TKO,"1 (6), 2:26","Mar 19, 2016","Billar El Perro Salado, Tijuana, Mexico",
3,Win,3–0,Jorge Edgar Sillas,UD,6,"Feb 20, 2016","Billar El Perro Salado, Tijuana, Mexico",
2,Win,2–0,Jose Iniguez,TKO,"1 (4), 1:36","Dec 18, 2015","Billar El Perro Salado, Tijuana, Mexico",
1,Win,1–0,Gonzalo Lopez,TKO,"1 (4), 0:33","Dec 11, 2015","Billar El Perro Salado, Tijuana, Mexico",
