No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
25,Win,24–1,Artur Beterbiev,MD,12,22 Feb 2025,"The Venue Riyadh Season, Riyadh, Saudi Arabia","Won WBA (Super), WBC, IBF, WBO, IBO, and The Ring light-heavyweight titles"
24,Loss,23–1,Artur Beterbiev,MD,12,12 Oct 2024,"Kingdom Arena, Riyadh, Saudi Arabia","Lost WBA (Super) and IBO light-heavyweight titles; For WBC, IBF, WBO, and vacant The Ring light-heavyweight titles"
23,Win,23–0,Malik Zinad,TKO,"6 (12), 2:06",1 Jun 2024,"Kingdom Arena, Riyadh, Saudi Arabia",Retained WBA (Super) and IBO light-heavyweight titles
22,Win,22–0,Lyndon Arthur,UD,12,23 Dec 2023,"Kingdom Arena, Riyadh, Saudi Arabia",Retained WBA (Super) light-heavyweight title; Won IBO light-heavyweight title
21,Win,21–0,Gilberto Ramírez,UD,12,5 Nov 2022,"Etihad Arena, Abu Dhabi, United Arab Emirates",Retained WBA (Super) light-heavyweight title
20,Win,20–0,Canelo Álvarez,UD,12,7 May 2022,"T-Mobile Arena, Paradise, Nevada, U.S.",Retained WBA (Super) light-heavyweight title
19,Win,19–0,Umar Salamov,UD,12,11 Dec 2021,"KRK Uralets, Ekaterinburg, Russia",Retained WBA (Super) light-heavyweight title
18,Win,18–0,Craig Richards,UD,12,1 May 2021,"AO Arena, Manchester, England",Retained WBA (Super) light-heavyweight title
17,Win,17–0,Lenin Castillo,UD,12,12 Oct 2019,"Wintrust Arena, Chicago, Illinois, U.S.",Retained WBA (Super) light-heavyweight title
16,Win,16–0,Joe Smith Jr.,UD,12,9 Mar 2019,"Turning Stone Resort Casino, Verona, New York, U.S.",Retained WBA light-heavyweight title
15,Win,15–0,Jean Pascal,UD,12,24 Nov 2018,"Etess Arena, Atlantic City, New Jersey, U.S.",Retained WBA light-heavyweight title
14,Win,14–0,Isaac Chilemba,UD,12,4 Aug 2018,"Etess Arena, Atlantic City, New Jersey, U.S.",Retained WBA light-heavyweight title
13,Win,13–0,Sullivan Barrera,TKO,"12 (12), 1:41",3 Mar 2018,"The Theater at Madison Square Garden, New York City, New York, U.S.",Retained WBA light-heavyweight title
12,Win,12–0,Trent Broadhurst,KO,"1 (12), 3:00",4 Nov 2017,"Casino de Salle Medecin, Monte Carlo, Monaco",Retained WBA light-heavyweight title
11,Win,11–0,Cedric Agnew,TKO,"4 (10), 1:27",17 Jun 2017,"Mandalay Bay Events Center, Paradise, Nevada, U.S.",
10,Win,10–0,Samuel Clarkson,TKO,"4 (12), 1:40",14 Apr 2017,"MGM National Harbor, Oxon Hill, Maryland, U.S.",Retained WBA interim light-heavyweight title
9,Win,9–0,Robert Berridge,TKO,"4 (12), 0:47",23 Feb 2017,"Nizhny Tagil Forum, Nizhny Tagil, Russia",Retained WBA interim light-heavyweight title
8,Win,8–0,Yevgeni Makhteienko,UD,10,29 Oct 2016,"Ekaterinburg Arena, Ekaterinburg, Russia",
7,Win,7–0,Felix Valera,UD,12,21 May 2016,"Khodynka Ice Palace, Moscow, Russia",Won WBA interim light-heavyweight title
6,Win,6–0,Cleiton Conceição,KO,"4 (10), 2:24",18 Feb 2016,"The Hangar, Costa Mesa, California, U.S.",
5,Win,5–0,Jackson Junior,TKO,"4 (10), 1:59",4 Nov 2015,"TatNeft Arena, Kazan, Russia",Won vacant WBA Inter-Continental light-heavyweight title
4,Win,4–0,Felipe Romero,KO,"8 (8), 2:38",27 Aug 2015,"The Hangar, Costa Mesa, California, U.S.",Won vacant WBC–USNBC Silver light-heavyweight title
3,Win,3–0,Joey Vegas,KO,"4 (8), 1:10",22 May 2015,"Luzhniki Palace of Sports, Moscow, Russia",
2,Win,2–0,Konstantin Piternov,TKO,"3 (6), 1:12",10 Apr 2015,"Luzhniki Palace of Sports, Moscow, Russia",
1,Win,1–0,Jorge Rodriguez Olivera,TKO,"6 (6), 1:44",28 Nov 2014,"Luzhniki Palace of Sports, Moscow, Russia",
