No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
29,Loss,28–1,Terence Crawford,TKO,"9 (12), 2:32","Jul 29, 2023","T-Mobile Arena, Paradise, Nevada, U.S.","Lost WBA (Super), WBC, and IBF welterweight titles;  For WBO and vacant The Ring welterweight titles"
28,Win,28–0,Yordenis Ugás,TKO,"10 (12), 1:44","Apr 16, 2022","AT&T Stadium, Arlington, Texas, U.S.",Retained WBC and IBF welterweight titles; Won WBA (Super) welterweight title
27,Win,27–0,Danny Garcia,UD,12,"Dec 5, 2020","AT&T Stadium, Arlington, Texas, U.S.",Retained WBC and IBF welterweight titles
26,Win,26–0,Shawn Porter,SD,12,"Sep 28, 2019","Staples Center, Los Angeles, California, U.S.",Retained IBF welterweight title; Won WBC welterweight title
25,Win,25–0,Mikey Garcia,UD,12,"Mar 16, 2019","AT&T Stadium, Arlington, Texas, U.S.",Retained IBF welterweight title
24,Win,24–0,Carlos Ocampo,KO,"1 (12), 3:00","Jun 16, 2018","Ford Center at The Star, Frisco, Texas, U.S.",Retained IBF welterweight title
23,Win,23–0,Lamont Peterson,RTD,"7 (12), 3:00","Jan 20, 2018","Barclays Center, New York City, New York, U.S.",Retained IBF welterweight title
22,Win,22–0,Kell Brook,KO,"11 (12), 1:47","May 27, 2017","Bramall Lane, Sheffield, England",Won IBF welterweight title
21,Win,21–0,Leonard Bundu,KO,"6 (12), 2:06","Aug 21, 2016","Ford Amphitheater at Coney Island, New York City, New York, U.S.",
20,Win,20–0,Chris Algieri,TKO,"5 (10), 0:48","Apr 16, 2016","Barclays Center, New York City, New York, U.S.",
19,Win,19–0,Alejandro Barrera,TKO,"5 (12), 1:46","Nov 28, 2015","The Bomb Factory, Dallas, Texas, U.S.",
18,Win,18–0,Chris van Heerden,TKO,"8 (10), 0:50","Sep 11, 2015","Ricoh Coliseum, Toronto, Ontario, Canada",
17,Win,17–0,Phil Lo Greco,TKO,"3 (10), 1:50","Jun 20, 2015","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
16,Win,16–0,Samuel Vargas,TKO,"4 (10), 1:45","Apr 11, 2015","Barclays Center, New York City, New York, U.S.",
15,Win,15–0,Francisco Javier Castro,TKO,"5 (8), 2:43","Dec 13, 2014","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
14,Win,14–0,Noe Bolanos,RTD,"2 (8), 3:00","Sep 11, 2014","The Joint, Paradise, Nevada, U.S.",
13,Win,13–0,Ronald Cruz,UD,10,"Jun 27, 2014","The Joint, Paradise, Nevada, U.S.",
12,Win,12–0,Raymond Charles,TKO,"1 (10), 2:52","Apr 18, 2014","Illusions Theater, San Antonio, Texas, U.S.",
11,Win,11–0,Peter Olouch,KO,"4 (8), 1:39","Feb 10, 2014","Cowboys Dancehall, San Antonio, Texas, U.S.",
10,Win,10–0,Gerardo Cuevas,RTD,"1 (8), 3:00","Dec 13, 2013","Fantasy Springs Resort Casino, Indio, California, U.S.",
9,Win,9–0,Emmanuel Lartie Lartey,UD,8,"Oct 14, 2013","BB&T Center, Sunrise, Florida, U.S.",
8,Win,8–0,Jesus Tavera,TKO,"1 (8), 2:33","Sep 12, 2013","MGM Grand Marquee Ballroom, Paradise, Nevada, U.S.",
7,Win,7–0,Eddie Cordova,KO,"1 (6), 2:13","Jul 20, 2013","Fantasy Springs Resort Casino, Indio, California, U.S.",
6,Win,6–0,Guillermo Ibarra,KO,"1 (6), 1:32","Jun 1, 2013","BB&T Center, Sunrise, Florida, U.S.",
5,Win,5–0,Brandon Hoskins,TKO,"1 (6), 2:35","May 3, 2013","Cosmopolitan of Las Vegas, Paradise, Nevada, U.S",
4,Win,4–0,Luis Torres,UD,4,"Mar 2, 2013","Our Lady of the Lake University Gym, San Antonio, Texas, U.S.",
3,Win,3–0,Nathan Butcher,TKO,"1 (4), 1:03","Jan 26, 2013","The Joint, Paradise, Nevada, U.S.",
2,Win,2–0,Richard Andrews,TKO,"3 (4), 0:44","Dec 15, 2012","Memorial Sports Arena, Los Angeles, California, U.S.",
1,Win,1–0,Jonathan Garcia,KO,"3 (4), 2:41","Nov 9, 2012","Fantasy Springs Resort Casino, Indio, California, U.S.",
