No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
57,Win,44–10–2 (1),Brian Nielsen,TKO,"10 (12), 2:49","May 7, 2011","48 years, 200 days","Koncerthuset, Copenhagen, Denmark",
56,NC,43–10–2 (1),Sherman Williams,NC,"3 (12), 3:00","Jan 22, 2011","48 years, 95 days","The Greenbrier, White Sulphur Springs, West Virginia, U.S.",WBF (Federation) heavyweight title at stake; Holyfield cut from an accidental head clash
55,Win,43–10–2,Francois Botha,TKO,"8 (12), 0:55","Apr 10, 2010","47 years, 173 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Won vacant WBF (Federation) heavyweight title
54,Loss,42–10–2,Nikolai Valuev,MD,12,"Dec 20, 2008","46 years, 62 days","Hallenstadion, Zürich, Switzerland",For WBA heavyweight title
53,Loss,42–9–2,Sultan Ibragimov,UD,12,"Oct 13, 2007","44 years, 359 days","Khodynka Arena, Moscow, Russia",For WBO heavyweight title
52,Win,42–8–2,Lou Savarese,UD,10,"Jun 30, 2007","44 years, 254 days","Don Haskins Center, El Paso, Texas, U.S.",
51,Win,41–8–2,Vinny Maddalone,TKO,"3 (10), 2:48","Mar 17, 2007","44 years, 149 days","American Bank Center, Corpus Christi, Texas, U.S.",
50,Win,40–8–2,Fres Oquendo,UD,12,"Nov 10, 2006","44 years, 22 days","Alamodome, San Antonio, Texas, U.S.",Won vacant USBA heavyweight title
49,Win,39–8–2,Jeremy Bates,TKO,"2 (12), 2:56","Aug 18, 2006","43 years, 303 days","American Airlines Center, Dallas, Texas, U.S.",
48,Loss,38–8–2,Larry Donald,UD,12,"Nov 13, 2004","42 years, 25 days","Madison Square Garden, New York City, New York, U.S.",For vacant NABC heavyweight title
47,Loss,38–7–2,James Toney,TKO,"9 (12), 1:42","Oct 4, 2003","40 years, 350 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",
46,Loss,38–6–2,Chris Byrd,UD,12,"Dec 14, 2002","40 years, 56 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",For vacant IBF heavyweight title
45,Win,38–5–2,Hasim Rahman,TD,"8 (12), 1:40","Jun 1, 2002","39 years, 225 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Split TD: Rahman sustained eye swelling from an accidental head clash
44,Draw,37–5–2,John Ruiz,SD,12,"Dec 15, 2001","39 years, 57 days","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",For WBA heavyweight title
43,Loss,37–5–1,John Ruiz,UD,12,"Mar 3, 2001","38 years, 135 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Lost WBA heavyweight title
42,Win,37–4–1,John Ruiz,UD,12,"Aug 12, 2000","37 years, 298 days","Paris Las Vegas, Paradise, Nevada, U.S.",Won vacant WBA heavyweight title
41,Loss,36–4–1,Lennox Lewis,UD,12,"Nov 13, 1999","37 years, 25 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Lost WBA and IBF heavyweight titles; For WBC and vacant IBO heavyweight titles
40,Draw,36–3–1,Lennox Lewis,SD,12,"Mar 13, 1999","36 years, 145 days","Madison Square Garden, New York City, New York, U.S.",Retained WBA and IBF heavyweight titles; For WBC heavyweight title
39,Win,36–3,Vaughn Bean,UD,12,"Sep 19, 1998","35 years, 335 days","Georgia Dome, Atlanta, Georgia, U.S.",Retained WBA and IBF heavyweight titles
38,Win,35–3,Michael Moorer,RTD,"8 (12), 3:00","Nov 8, 1997","35 years, 20 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Retained WBA heavyweight title; Won IBF heavyweight title
37,Win,34–3,Mike Tyson,DQ,"3 (12), 3:00","Jun 28, 1997","34 years, 252 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBA heavyweight title; Tyson disqualified for biting
36,Win,33–3,Mike Tyson,TKO,"11 (12), 0:37","Nov 9, 1996","34 years, 21 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBA heavyweight title
35,Win,32–3,Bobby Czyz,RTD,"5 (10), 3:00","May 10, 1996","33 years, 204 days","Madison Square Garden, New York City, New York, U.S.",
34,Loss,31–3,Riddick Bowe,TKO,"8 (12), 0:58","Nov 4, 1995","33 years, 16 days","Caesars Palace, Paradise, Nevada, U.S.",
33,Win,31–2,Ray Mercer,UD,10,"May 20, 1995","32 years, 213 days","Convention Hall, Atlantic City, New Jersey, U.S.",
32,Loss,30–2,Michael Moorer,MD,12,"Apr 22, 1994","31 years, 185 days","Caesars Palace, Paradise, Nevada, U.S.",Lost WBA and IBF heavyweight titles
31,Win,30–1,Riddick Bowe,MD,12,"Nov 6, 1993","31 years, 18 days","Caesars Palace, Paradise, Nevada, U.S.",Won WBA and IBF heavyweight titles
30,Win,29–1,Alex Stewart,UD,12,"Jun 26, 1993","30 years, 250 days","Convention Hall, Atlantic City, New Jersey, U.S.",
29,Loss,28–1,Riddick Bowe,UD,12,"Nov 13, 1992","30 years, 25 days","Thomas & Mack Center, Paradise, Nevada, U.S.","Lost WBA, WBC, and IBF heavyweight titles"
28,Win,28–0,Larry Holmes,UD,12,"Jun 19, 1992","29 years, 244 days","Caesars Palace, Paradise, Nevada, U.S.","Retained WBA, WBC, and IBF heavyweight titles"
27,Win,27–0,Bert Cooper,TKO,"7 (12), 2:58","Nov 23, 1991","29 years, 35 days","Omni Coliseum, Atlanta, Georgia, U.S.",Retained WBA and IBF heavyweight titles
26,Win,26–0,George Foreman,UD,12,"Apr 19, 1991","28 years, 182 days","Convention Hall, Atlantic City, New Jersey, U.S.","Retained WBA, WBC, and IBF heavyweight titles"
25,Win,25–0,Buster Douglas,KO,"3 (12), 1:10","Oct 25, 1990","28 years, 6 days","The Mirage, Paradise, Nevada, U.S.","Won WBA, WBC, and IBF heavyweight titles"
24,Win,24–0,Seamus McDonagh,TKO,"4 (12), 0:44","Jun 1, 1990","27 years, 225 days","Convention Hall, Atlantic City, New Jersey, U.S.",Retained WBC Continental Americas heavyweight title
23,Win,23–0,Alex Stewart,TKO,"8 (12), 2:51","Nov 4, 1989","27 years, 16 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",Retained WBC Continental Americas heavyweight title
22,Win,22–0,Adílson Rodrigues,KO,"2 (12), 1:29","Jul 15, 1989","26 years, 269 days","Caesars Tahoe, Stateline, Nevada, U.S.",Retained WBC Continental Americas heavyweight title
21,Win,21–0,Michael Dokes,TKO,"10 (12), 1:41","Mar 11, 1989","26 years, 143 days","Caesars Palace, Paradise, Nevada, U.S.",Won WBC Continental Americas heavyweight title
20,Win,20–0,Pinklon Thomas,RTD,"7 (10), 3:00","Dec 9, 1988","26 years, 51 days","Convention Hall, Atlantic City, New Jersey, U.S.",
19,Win,19–0,James Tillis,RTD,"5 (10), 3:00","Jul 15, 1988","25 years, 270 days","Caesars Tahoe, Stateline, Nevada, U.S.",
18,Win,18–0,Carlos de León,TKO,"8 (12), 1:08","Apr 9, 1988","25 years, 173 days","Caesars Palace, Paradise, Nevada, U.S.",Retained WBA and IBF cruiserweight titles; Won WBC cruiserweight title
17,Win,17–0,Dwight Muhammad Qawi,KO,"4 (15), 2:30","Dec 5, 1987","25 years, 47 days","Convention Hall, Atlantic City, New Jersey, U.S.",Retained WBA and IBF cruiserweight titles
16,Win,16–0,Ossie Ocasio,TKO,"11 (15), 1:24","Aug 15, 1987","24 years, 300 days","Parking de Nouveau Port, Saint-Tropez, France",Retained WBA and IBF cruiserweight titles
15,Win,15–0,Ricky Parkey,TKO,"3 (15), 2:44","May 15, 1987","24 years, 208 days","Caesars Palace, Paradise, Nevada, U.S.",Retained WBA cruiserweight title; Won IBF cruiserweight title
14,Win,14–0,Henry Tillman,TKO,"7 (15), 1:43","Feb 14, 1987","24 years, 118 days","Bally's, Reno, Nevada, U.S.",Retained WBA cruiserweight title
