No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
45,Loss,42–3,Roy Jones Jr.,UD,12,"Jan 19, 2008","Madison Square Garden, New York City, New York, U.S.",
44,Loss,42–2,Winky Wright,UD,12,"May 14, 2005","MGM Grand Garden Arena, Paradise, Nevada, U.S.",WBC Middleweight Title Eliminator
43,Win,42–1,Ricardo Mayorga,TKO,"8 (12), 2:39","Oct 2, 2004","Madison Square Garden, New York City, New York, U.S.",Won vacant NABC middleweight title
42,Win,41–1,Hacine Cherifi,TKO,"4 (10), 2:32","May 11, 2002","Roberto Clemente Coliseum, San Juan, Puerto Rico",
41,Loss,40–1,Bernard Hopkins,TKO,"12 (12), 1:18","Sep 29, 2001","Madison Square Garden, New York City, New York, U.S.","Lost WBA middleweight title; For WBC, IBF, and vacant The Ring middleweight titles"
40,Win,40–0,William Joppy,TKO,"5 (12), 2:25","May 12, 2001","Madison Square Garden, New York City, New York, U.S.",Won WBA middleweight title
39,Win,39–0,Fernando Vargas,TKO,"12 (12), 1:33","Dec 2, 2000","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBA light middleweight title; Won IBF light middleweight title
38,Win,38–0,Mamadou Thiam,TKO,"3 (12), 2:48","Jul 22, 2000","American Airlines Arena, Miami, Florida, U.S.",Retained WBA light middleweight title
37,Win,37–0,David Reid,UD,12,"Mar 3, 2000","Caesars Palace, Paradise, Nevada, U.S.",Won WBA light middleweight title
36,Win,36–0,Oscar De La Hoya,MD,12,"Sep 18, 1999","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained IBF welterweight title; Won WBC welterweight title
35,Win,35–0,Hugo Pineda,KO,"4 (12), 2:53","May 29, 1999","Roberto Clemente Coliseum, San Juan, Puerto Rico",Retained IBF welterweight title
34,Win,34–0,Pernell Whitaker,UD,12,"Feb 20, 1999","Madison Square Garden, New York City, New York, U.S.",Retained IBF welterweight title
33,Win,33–0,Mahenge Zulu,KO,"4 (12), 2:20","Apr 3, 1998","Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",Retained IBF welterweight title
32,Win,32–0,Troy Waters,KO,"1 (12), 2:50","Aug 23, 1997","Madison Square Garden, New York City, New York, U.S.",Retained IBF welterweight title
31,Win,31–0,Kevin Lueshing,TKO,"3 (12), 2:59","Jan 11, 1997","Nashville Arena, Nashville, Tennessee, U.S.",Retained IBF welterweight title
30,Win,30–0,Ray Lovato,TKO,"6 (12), 1:57","Sep 7, 1996","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained IBF welterweight title
29,Win,29–0,Freddie Pendleton,KO,"5 (12), 1:30","May 18, 1996","The Mirage, Paradise, Nevada, U.S.",Retained IBF welterweight title
28,Win,28–0,Rodney Moore,RTD,"4 (12), 3:00","Feb 10, 1996","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained IBF welterweight title
27,Win,27–0,Larry Barnes,TKO,"4 (12), 2:54","Nov 18, 1995","Convention Hall, Atlantic City, New Jersey, U.S.",Retained IBF welterweight title
26,Win,26–0,Roger Turner,TKO,"2 (12), 2:28","Apr 8, 1995","Caesars Palace, Paradise, Nevada, U.S.",Retained IBF welterweight title
25,Win,25–0,Oba Carr,TKO,"8 (12), 2:41","Dec 10, 1994","Estadio de Béisbol, Monterrey, Mexico",Retained IBF welterweight title
24,Win,24–0,Luis Ramon Campas,TKO,"4 (12), 2:41","Sep 17, 1994","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained IBF welterweight title
23,Win,23–0,Héctor Camacho,UD,12,"Jan 29, 1994","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained IBF welterweight title
22,Win,22–0,Anthony Stephens,KO,"10 (12), 2:09","Oct 23, 1993","Broward County Convention Center, Fort Lauderdale, Florida, U.S.",Retained IBF welterweight title
21,Win,21–0,Luis Garcia,TKO,"1 (12), 2:31","Aug 6, 1993","Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",Retained IBF welterweight title
