No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
50,Win,50–0,Conor McGregor,TKO,"10 (12), 1:05","Aug 26, 2017","40 years, 183 days","T-Mobile Arena, Paradise, Nevada, U.S.",
49,Win,49–0,Andre Berto,UD,12,"Sep 12, 2015","38 years, 200 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Unified), WBC, and The Ring welterweight titles"
48,Win,48–0,Manny Pacquiao,UD,12,"May 2, 2015","38 years, 67 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Unified), WBC, and The Ring welterweight titles; Won WBO welterweight title"
47,Win,47–0,Marcos Maidana,UD,12,"Sep 13, 2014","37 years, 201 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Unified), WBC, and The Ring welterweight titles; Retained WBC light middleweight title"
46,Win,46–0,Marcos Maidana,MD,12,"May 3, 2014","37 years, 68 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC and The Ring welterweight titles; Won WBA (Unified) welterweight title
45,Win,45–0,Canelo Álvarez,MD,12,"Sep 14, 2013","36 years, 202 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBA (Super) light middleweight title; Won WBC and The Ring light middleweight titles
44,Win,44–0,Robert Guerrero,UD,12,"May 4, 2013","36 years, 69 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC welterweight title; Won vacant The Ring welterweight title
43,Win,43–0,Miguel Cotto,UD,12,"May 5, 2012","35 years, 71 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBA (Super) light middleweight title
42,Win,42–0,Victor Ortiz,KO,"4 (12), 2:59","Sep 17, 2011","34 years, 205 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC welterweight title
41,Win,41–0,Shane Mosley,UD,12,"May 1, 2010","33 years, 66 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
40,Win,40–0,Juan Manuel Márquez,UD,12,"Sep 19, 2009","32 years, 207 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
39,Win,39–0,Ricky Hatton,TKO,"10 (12), 1:35","Dec 8, 2007","30 years, 287 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC and The Ring welterweight titles
38,Win,38–0,Oscar De La Hoya,SD,12,"May 5, 2007","30 years, 70 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC light middleweight title
37,Win,37–0,Carlos Baldomir,UD,12,"Nov 4, 2006","29 years, 253 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.","Retained IBO welterweight title; Won WBC, IBA, and The Ring welterweight titles"
36,Win,36–0,Zab Judah,UD,12,"Apr 8, 2006","29 years, 43 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Won IBF and vacant IBO welterweight titles
35,Win,35–0,Sharmba Mitchell,TKO,"6 (12), 2:06","Nov 19, 2005","28 years, 268 days","Rose Garden, Portland, Oregon, U.S.",
34,Win,34–0,Arturo Gatti,RTD,"6 (12), 3:00","Jun 25, 2005","28 years, 121 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Won WBC super lightweight title
