No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
45,Loss,42–2–1,Canelo Álvarez,UD,12,17 Sep 2022,"T-Mobile Arena, Paradise, Nevada, US","For WBA (Super), WBC, IBF, WBO, and The Ring super middleweight titles"
44,Win,42–1–1,Ryōta Murata,TKO,"9 (12), 2:11",9 Apr 2022,"Super Arena, Saitama, Japan",Retained IBF and IBO middleweight titles; Won WBA (Super) middleweight title
43,Win,41–1–1,Kamil Szeremeta,RTD,"7 (12), 3:00",18 Dec 2020,"Seminole Hard Rock Hotel & Casino, Hollywood, Florida, US",Retained IBF and IBO middleweight titles
42,Win,40–1–1,Sergiy Derevyanchenko,UD,12,5 Oct 2019,"Madison Square Garden, New York City, New York, US",Won vacant IBF and IBO middleweight titles
41,Win,39–1–1,Steve Rolls,KO,"4 (12), 2:09",8 Jun 2019,"Madison Square Garden, New York City, New York, US",
40,Loss,38–1–1,Canelo Álvarez,MD,12,15 Sep 2018,"T-Mobile Arena, Paradise, Nevada, US","Lost WBA (Super), WBC, and IBO middleweight titles; For vacant The Ring middleweight title"
39,Win,38–0–1,Vanes Martirosyan,KO,"2 (12), 1:53",5 May 2018,"StubHub Center, Carson, California, US","Retained WBA (Super), WBC, and IBO middleweight titles"
38,Draw,37–0–1,Canelo Álvarez,SD,12,16 Sep 2017,"T-Mobile Arena, Paradise, Nevada, US","Retained WBA (Super), WBC, IBF, and IBO middleweight titles; For The Ring middleweight title"
37,Win,37–0,Daniel Jacobs,UD,12,18 Mar 2017,"Madison Square Garden, New York City, New York, US","Retained WBA (Super), WBC, IBF, and IBO middleweight titles; IBF middleweight title at stake only for Golovkin after Jacobs missed same-day weight"
36,Win,36–0,Kell Brook,TKO,"5 (12), 1:52",10 Sep 2016,"The O2 Arena, London, England","Retained WBC, IBF, and IBO middleweight titles"
35,Win,35–0,Dominic Wade,KO,"2 (12), 2:37",23 Apr 2016,"The Forum, Inglewood, California, US","Retained WBA (Super), IBF, IBO, and WBC interim middleweight titles"
34,Win,34–0,David Lemieux,TKO,"8 (12), 1:32",17 Oct 2015,"Madison Square Garden, New York City, New York, US","Retained WBA (Super), IBO, and WBC interim middleweight titles; Won IBF middleweight title"
33,Win,33–0,Willie Monroe Jr.,TKO,"6 (12), 0:45",16 May 2015,"The Forum, Inglewood, California, US","Retained WBA (Super), IBO, and WBC interim middleweight titles"
32,Win,32–0,Martin Murray,TKO,"11 (12), 0:50",21 Feb 2015,"Salle des Etoiles, Monte Carlo, Monaco","Retained WBA (Super), IBO, and WBC interim middleweight titles"
31,Win,31–0,Marco Antonio Rubio,KO,"2 (12), 1:19",18 Oct 2014,"StubHub Center, Carson, California, US",Retained WBA (Super) and IBO middleweight titles; Won WBC interim middleweight title
30,Win,30–0,Daniel Geale,TKO,"3 (12), 2:47",26 Jul 2014,"Madison Square Garden, New York City, New York, US",Retained WBA (Super) and IBO middleweight titles
29,Win,29–0,Osumanu Adama,TKO,"7 (12), 1:20",1 Feb 2014,"Salle des Etoiles, Monte Carlo, Monaco",Retained WBA and IBO middleweight titles
28,Win,28–0,Curtis Stevens,RTD,"8 (12), 3:00",2 Nov 2013,"The Theater at Madison Square Garden, New York City, New York, US",Retained WBA and IBO middleweight titles
27,Win,27–0,Matthew Macklin,KO,"3 (12), 1:22",29 Jun 2013,"Foxwoods Resort Casino, Ledyard, Connecticut, US",Retained WBA and IBO middleweight titles
26,Win,26–0,Nobuhiro Ishida,KO,"3 (12), 2:11",30 Mar 2013,"Salle des Etoiles, Monte Carlo, Monaco",Retained WBA and IBO middleweight titles
25,Win,25–0,Gabriel Rosado,TKO,"7 (12), 2:46",19 Jan 2013,"The Theater at Madison Square Garden, New York City, New York, US",Retained WBA and IBO middleweight titles
24,Win,24–0,Grzegorz Proksa,TKO,"5 (12), 1:11",1 Sep 2012,"Turning Stone Resort Casino, Verona, New York, US",Retained WBA (Regular) and IBO middleweight titles
23,Win,23–0,Makoto Fuchigami,TKO,"3 (12), 1:17",12 May 2012,"Ice Palace ""Terminal"", Kyiv, Ukraine",Retained WBA (Regular) and IBO middleweight titles
22,Win,22–0,Lajuan Simon,KO,"1 (12), 2:17",9 Dec 2011,"Ballsaal Interconti-Hotel, Düsseldorf, Germany",Retained WBA (Regular) middleweight title; Won vacant IBO middleweight title
21,Win,21–0,Kassim Ouma,TKO,"10 (12), 1:57",17 Jun 2011,"Roberto Durán Arena, Panama City, Panama",Retained WBA (Regular) middleweight title
20,Win,20–0,Nilson Julio Tapia,KO,"3 (12), 2:44",16 Dec 2010,"Daulet National Tennis Centre, Astana, Kazakhstan",Retained WBA (Regular) middleweight title
19,Win,19–0,Milton Núñez,KO,"1 (12), 0:58",14 Aug 2010,"Roberto Durán Arena, Panama City, Panama",Won WBA interim middleweight title
18,Win,18–0,Mikhail Makarov,KO,"2 (10), 1:24",21 Nov 2009,"Sparkassen-Arena, Kiel, Germany",
17,Win,17–0,John Anderson Carvalho,KO,"2 (12), 2:20",11 Jul 2009,"Nürburgring, Nürburg, Germany",Won vacant WBO Inter-Continental middleweight title
16,Win,16–0,Anthony Greenidge,KO,"5 (10), 0:59",25 Apr 2009,"König Palast, Krefeld, Germany",
15,Win,15–0,Javier Alberto Mamani,TKO,"1 (10), 2:52",17 Jan 2009,"Burg-Wächter Castello, Düsseldorf, Germany",
14,Win,14–0,Malik Dziarra,RTD,"2 (10), 3:00",22 Nov 2008,"Stadthalle, Rostock, Germany",
13,Win,13–0,Amar Amari,UD,8,21 Jun 2008,"Brøndby Hall, Copenhagen, Denmark",
12,Win,12–0,Ibrahim Sid,TKO,"8 (8), 0:26",10 May 2008,"Brandberge Arena, Halle, Germany",
11,Win,11–0,Ian Gardner,UD,8,5 Apr 2008,"Burg-Wächter Castello, Düsseldorf, Germany",
10,Win,10–0,Tshepo Mashego,KO,"1 (8), 2:04",29 Feb 2008,"Alsterdorfer Sporthalle, Hamburg, Germany",
9,Win,9–0,Mehdi Bouadla,UD,8,7 Sep 2007,"Burg-Wächter Castello, Düsseldorf, Germany",
8,Win,8–0,Sergey Khomitsky,TKO,"5 (8), 1:59",25 May 2007,"Fight Night Arena, Cologne, Germany",
7,Win,7–0,Simon Mokoena,RTD,"5 (8), 3:00",27 Feb 2007,"Kugelbake-Halle, Cuxhaven, Germany",
6,Win,6–0,Sylvain Gomis,KO,"4 (6), 1:00",2 Dec 2006,"Estrel Hotel, Berlin, Germany",
5,Win,5–0,Jorge Ariel Garcia,KO,"2 (6), 2:28",21 Oct 2006,"Brandberge Arena, Halle, Germany",
4,Win,4–0,Martins Kukulis,RTD,"2 (4), 3:00",19 Sep 2006,"Kugelbake-Halle, Cuxhaven, Germany",
3,Win,3–0,Daniel Urbanski,RTD,"3 (4), 3:00",22 Aug 2006,"Universum Gym, Hamburg, Germany",
2,Win,2–0,Sergei Navarka,TKO,"3 (4), 1:10",29 Jul 2006,"König Pilsener Arena, Oberhausen, Germany",
1,Win,1–0,Gabor Balogh,KO,"1 (4), 1:28",6 May 2006,"Burg-Wächter Castello, Düsseldorf, Germany",
