No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
31,Draw,30–0–1,Lamont Roach Jr.,MD,12,"Mar 1, 2025","Barclays Center, New York City, New York, U.S.",Retained WBA lightweight title
30,Win,30–0,Frank Martin,KO,"8 (12), 1:29","Jun 15, 2024","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBA lightweight title
29,Win,29–0,Ryan Garcia,KO,"7 (12), 1:44","Apr 22, 2023","T-Mobile Arena, Paradise, Nevada, U.S.",
28,Win,28–0,Héctor García,TKO,"9 (12), 0:13","Jan 7, 2023","Capital One Arena, Washington, D.C., U.S.",Retained WBA (Regular) lightweight title
27,Win,27–0,Rolando Romero,TKO,"6 (12), 2:39","May 28, 2022","Barclays Center, New York City, New York, U.S.",Retained WBA (Regular) lightweight title
26,Win,26–0,Isaac Cruz,UD,12,"Dec 5, 2021","Staples Center, Los Angeles, California",Retained WBA (Regular) lightweight title
25,Win,25–0,Mario Barrios,TKO,"11 (12), 2:13","Jun 26, 2021","State Farm Arena, Atlanta, Georgia, U.S.",Won WBA (Regular) super lightweight title
24,Win,24–0,Léo Santa Cruz,KO,"6 (12), 2:40","Oct 31, 2020","Alamodome, San Antonio, Texas, U.S.",Retained WBA (Regular) lightweight title; Won WBA (Super) super featherweight title
23,Win,23–0,Yuriorkis Gamboa,TKO,"12 (12), 1:17","Dec 28, 2019","State Farm Arena, Atlanta, Georgia, U.S.",Won vacant WBA (Regular) lightweight title
22,Win,22–0,Ricardo Núñez,TKO,"2 (12), 1:33","Jul 27, 2019","Royal Farms Arena, Baltimore, Maryland, U.S.",Retained WBA (Super) super featherweight title
21,Win,21–0,Hugo Ruiz,KO,"1 (12), 2:59","Feb 9, 2019","Dignity Health Sports Park, Carson, California, U.S.",Retained WBA (Super) super featherweight title
20,Win,20–0,Jesús Cuellar,KO,"3 (12), 2:45","Apr 21, 2018","Barclays Center, New York City, New York, U.S.",Won vacant WBA (Super) super featherweight title
19,Win,19–0,Francisco Fonseca,KO,"8 (12), 0:39","Aug 26, 2017","T-Mobile Arena, Paradise, Nevada, U.S.",IBF super featherweight title at stake only for Fonseca after Davis missed weight
18,Win,18–0,Liam Walsh,KO,"3 (12), 2:11","May 20, 2017","Copper Box Arena, London, England",Retained IBF super featherweight title
17,Win,17–0,José Pedraza,TKO,"7 (12), 2:36","Jan 14, 2017","Barclays Center, New York City, U.S.",Won IBF super featherweight title
16,Win,16–0,Mario Antonio Macias,KO,"1 (8), 0:41","Jun 3, 2016","Hard Rock Live, Hollywood, Florida, U.S.",
15,Win,15–0,Guillermo Avila,TKO,"6 (10), 0:29","Apr 1, 2016","D.C. Armory, Washington, D.C., U.S.",
14,Win,14–0,Luis Sanchez,KO,"9 (10), 2:05","Dec 18, 2015","Pearl Concert Theater, Paradise, Nevada, U.S.",
13,Win,13–0,Cristóbal Cruz,TKO,"3 (8), 1:31","Oct 30, 2015","The Venue at UCF, Orlando, Florida, U.S.",
12,Win,12–0,Recky Dulay,TKO,"1 (6), 1:34","Sep 12, 2015","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
11,Win,11–0,Alberto Mora,TKO,"1 (8), 1:14","May 22, 2015","The Claridge Hotel, Atlantic City, New Jersey, U.S.",
10,Win,10–0,Israel Suarez,KO,"1 (6), 0:47","Feb 20, 2015","Consol Energy Center, Pittsburgh, Pennsylvania, U.S.",
9,Win,9–0,Germán Meraz,UD,6,"Oct 8, 2014","Beau Rivage, Biloxi, Mississippi, U.S.",
8,Win,8–0,Hector Lopez,KO,"1 (4), 1:16","Aug 1, 2014","Little Creek Casino Resort, Shelton, Washington, U.S.",
7,Win,7–0,Joshua Arocho,TKO,"2 (4), 3:00","May 16, 2014","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
6,Win,6–0,James Franks,TKO,"2 (6), 2:29","Dec 14, 2013","Convention Center, Washington, D.C., U.S.",
5,Win,5–0,Eric Jamar Goodall,TKO,"4 (4), 1:55","Oct 17, 2013","ArtsQuest Center at SteelStacks, Bethlehem, Pennsylvania, U.S.",
4,Win,4–0,Rafael Casias,TKO,"2 (6), 2:26","Jul 20, 2013","Physical Education Complex, Baltimore, Maryland, U.S.",
3,Win,3–0,Jonathan Gears,KO,"1 (4), 1:36","Jun 8, 2013","Echostage, Washington, D.C., U.S.",
2,Win,2–0,Jacob Ninow,TKO,"2 (4), 2:04","Apr 20, 2013","The Show Place Arena, Upper Marlboro, Maryland, U.S.",
1,Win,1–0,Desi Williams,KO,"1 (4), 1:29","Feb 22, 2013","D.C. Armory, Washington, D.C., U.S.",
