No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
64,Win,56–7–1,Mike Alvarado,UD,12,"May 17, 2014","The Forum, Inglewood, California, U.S.",Won WBO International welterweight title
63,Loss,55–7–1,Timothy Bradley,SD,12,"Oct 12, 2013","Thomas & Mack Center, Paradise, Nevada, U.S.",For WBO welterweight title
62,Win,55–6–1,Manny Pacquiao,KO,"6 (12), 2:59","Dec 8, 2012","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
61,Win,54–6–1,Serhiy Fedchenko,UD,12,"Apr 14, 2012","Mexico City Arena, Mexico City, Mexico",Won vacant WBO interim junior welterweight title
60,Loss,53–6–1,Manny Pacquiao,MD,12,"Nov 12, 2011","MGM Grand Garden Arena, Paradise, Nevada, U.S.",For WBO welterweight title
59,Win,53–5–1,Likar Ramos Concha,KO,"1 (10), 1:46","Jul 16, 2011","Plaza de Toros, Cancún, Mexico",
58,Win,52–5–1,Michael Katsidis,TKO,"9 (12), 2:14","Nov 27, 2010","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Super), WBO, and The Ring lightweight titles"
57,Win,51–5–1,Juan Díaz,UD,12,"Jul 31, 2010","Mandalay Bay Events Center, Paradise, Nevada, U.S.","Retained WBA (Super), WBO, and The Ring lightweight titles"
56,Loss,50–5–1,Floyd Mayweather Jr.,UD,12,"Sep 19, 2009","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
55,Win,50–4–1,Juan Díaz,TKO,"9 (12), 2:40","Feb 28, 2009","Toyota Center, Houston, Texas, U.S.",Retained The Ring lightweight title; Won vacant WBA (Super) and WBO lightweight titles
54,Win,49–4–1,Joel Casamayor,KO,"11 (12), 0:55","Sep 13, 2008","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won The Ring lightweight title
53,Loss,48–4–1,Manny Pacquiao,SD,12,"Mar 15, 2008","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Lost WBC super featherweight title; For vacant The Ring super featherweight title
52,Win,48–3–1,Rocky Juarez,UD,12,"Nov 3, 2007","Desert Diamond Casino, Tucson, Arizona, U.S.",Retained WBC super featherweight title
51,Win,47–3–1,Marco Antonio Barrera,UD,12,"Mar 17, 2007","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Won WBC super featherweight title
50,Win,46–3–1,Jimrex Jaca,KO,"9 (12), 2:48","Nov 25, 2006","Dodge Arena, Hidalgo, Texas, U.S.",Retained WBO interim featherweight title
49,Win,45–3–1,Terdsak Kokietgym,TKO,"7 (12), 1:13","Aug 5, 2006","MontBleu, Stateline, Nevada, U.S.",Won WBO interim featherweight title
48,Loss,44–3–1,Chris John,UD,12,"Mar 4, 2006","Karang Melenu Sports Hall, Kutai Kartanegara, Indonesia",For WBA featherweight title
47,Win,44–2–1,Victor Polo,UD,12,"May 7, 2005","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBA (Unified) and IBF featherweight titles
46,Win,43–2–1,Orlando Salido,UD,12,"Sep 18, 2004","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBA (Unified) and IBF featherweight titles
