No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
115,Loss,107–6–2,Grover Wiley,RTD,"4 (10), 3:00","Sep 17, 2005","America West Arena, Phoenix, Arizona, U.S.",
114,Win,107–5–2,Ivan Robinson,UD,10,"May 28, 2005","Staples Center, Los Angeles, California, U.S.",
113,Win,106–5–2,Frankie Randall,UD,10,"May 22, 2004","Plaza de Toros, Mexico City, Mexico",
112,Win,105–5–2,Willy Wise,TKO,2 (10),"Nov 22, 2003","Centro de Espectáculos Alamar, Tijuana, Mexico",
111,Win,104–5–2,Terry Thomas,TKO,"2 (10), 0:50","Nov 24, 2001","Plaza de Toros Monumental, Ciudad Juárez, Mexico",
110,Loss,103–5–2,Kostya Tszyu,TKO,"6 (12), 1:28","Jul 29, 2000","Veteran's Memorial Coliseum, Phoenix, Arizona, U.S.",For WBC light welterweight title
109,Win,103–4–2,Buck Smith,TKO,3 (10),"Dec 18, 1999","Culiacán, Mexico",
108,Loss,102–4–2,Willy Wise,UD,10,"Oct 2, 1999","Las Vegas Hilton, Winchester, Nevada, U.S.",
107,Win,102–3–2,Marty Jakubowski,TKO,4 (10),"Jul 10, 1999","Plaza de Toros Calafia, Mexicali, Mexico",
106,Win,101–3–2,Verdell Smith,TKO,"4 (10), 1:36","Apr 1, 1999","Don Haskins Center, El Paso, Texas, U.S.",
105,Loss,100–3–2,Oscar De La Hoya,RTD,"8 (12), 3:00","Sep 18, 1998","Thomas & Mack Center, Paradise, Nevada, U.S.",For WBC welterweight title
104,Win,100–2–2,Ken Sigurani,TKO,"3 (10), 2:09","Jun 25, 1998","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
103,Draw,99–2–2,Miguel Ángel González,SD,12,"Mar 7, 1998","Plaza de Toros, Mexico City, Mexico",For vacant WBC light welterweight title
102,Win,99–2–1,Larry LaCoursiere,UD,10,"Jun 28, 1997","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
101,Win,98–2–1,Tony Martin,UD,10,"Mar 29, 1997","Las Vegas Hilton, Winchester, Nevada, U.S.",
100,Win,97–2–1,Joey Gamache,TKO,"8 (10), 3:00","Oct 12, 1996","Arrowhead Pond, Anaheim, California, U.S.",
99,Loss,96–2–1,Oscar De La Hoya,TKO,"4 (12), 2:37","Jun 7, 1996","Caesars Palace, Paradise, Nevada, U.S.",Lost WBC light welterweight title
98,Win,96–1–1,Scott Walker,TKO,"2 (10), 2:45","Feb 9, 1996","Caesars Palace, Paradise, Nevada, U.S.",
97,Win,95–1–1,David Kamau,UD,12,"Sep 16, 1995","The Mirage, Paradise, Nevada, U.S.",Retained WBC light welterweight title
96,Win,94–1–1,Craig Houk,KO,"1 (10), 1:19","Jul 29, 1995","United Center, Chicago, Illinois, U.S.",
95,Win,93–1–1,Giovanni Parisi,UD,12,"Apr 8, 1995","Caesars Palace, Paradise, Nevada, U.S.",Retained WBC light welterweight title
94,Win,92–1–1,Tony Lopez,TKO,"10 (12), 1:41","Dec 10, 1994","Estadio de Béisbol, Monterrey, Mexico",Retained WBC light welterweight title
93,Win,91–1–1,Meldrick Taylor,TKO,"8 (12), 1:41","Sep 17, 1994","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC light welterweight title
92,Win,90–1–1,Frankie Randall,TD,"8 (12), 2:57","May 7, 1994","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC light welterweight title; Split TD after Chávez was cut from an accidental head clash
91,Loss,89–1–1,Frankie Randall,SD,12,"Jan 29, 1994","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Lost WBC light welterweight title
90,Win,89–0–1,Andy Holligan,TKO,5 (12),"Dec 18, 1993","Estadio Cuauhtémoc, Puebla City, Mexico",Retained WBC light welterweight title
89,Win,88–0–1,Mike Powell,TKO,4 (10),"Oct 30, 1993","Ciudad Juárez, Mexico",
