No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
59,Loss,50–7 (2),Jake Paul,UD,8,"Nov 15, 2024","58 years, 138 days","AT&T Stadium, Arlington, Texas, U.S.",
58,Loss,50–6 (2),Kevin McBride,RTD,"6 (10), 3:00","Jun 11, 2005","38 years, 346 days","MCI Center, Washington, D.C., U.S.",
57,Loss,50–5 (2),Danny Williams,KO,"4 (10), 2:51","Jul 30, 2004","38 years, 30 days","Freedom Hall, Louisville, Kentucky, U.S.",
56,Win,50–4 (2),Clifford Etienne,KO,"1 (10), 0:49","Feb 22, 2003","36 years, 237 days","The Pyramid, Memphis, Tennessee, U.S.",
55,Loss,49–4 (2),Lennox Lewis,KO,"8 (12), 2:25","Jun 8, 2002","35 years, 343 days","The Pyramid, Memphis, Tennessee, U.S.","For WBC, IBF, IBO, and The Ring heavyweight titles"
54,Win,49–3 (2),Brian Nielsen,RTD,"6 (10), 3:00","Oct 13, 2001","35 years, 115 days","Parken Stadium, Copenhagen, Denmark",
53,NC,48–3 (2),Andrew Golota,RTD,"3 (10), 3:00","Oct 20, 2000","34 years, 112 days","The Palace, Auburn Hills, Michigan, U.S.","Originally RTD win for Tyson, later ruled NC after he failed a drug test for marijuana"
52,Win,48–3 (1),Lou Savarese,TKO,"1 (10), 0:38","Jun 24, 2000","33 years, 360 days","Hampden Park, Glasgow, Scotland",
51,Win,47–3 (1),Julius Francis,TKO,"2 (10), 1:03","Jan 29, 2000","33 years, 213 days","MEN Arena, Manchester, England",
50,NC,46–3 (1),Orlin Norris,NC,"1 (10), 3:00","Oct 23, 1999","33 years, 115 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Norris unable to continue after a Tyson foul
49,Win,46–3,Francois Botha,KO,"5 (10), 2:59","Jan 16, 1999","32 years, 200 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
48,Loss,45–3,Evander Holyfield,DQ,"3 (12), 3:00","Jun 28, 1997","30 years, 363 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",For WBA heavyweight title; Tyson disqualified for biting
47,Loss,45–2,Evander Holyfield,TKO,"11 (12), 0:37","Nov 9, 1996","30 years, 132 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Lost WBA heavyweight title
46,Win,45–1,Bruce Seldon,TKO,"1 (12), 1:49","Sep 7, 1996","30 years, 69 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBA heavyweight title
45,Win,44–1,Frank Bruno,TKO,"3 (12), 0:50","Mar 16, 1996","29 years, 260 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC heavyweight title
44,Win,43–1,Buster Mathis Jr.,KO,"3 (12), 2:32","Dec 16, 1995","29 years, 169 days","CoreStates Spectrum, Philadelphia, Pennsylvania, U.S.",
43,Win,42–1,Peter McNeeley,DQ,"1 (10), 1:29","Aug 19, 1995","29 years, 50 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",McNeeley disqualified after his manager entered the ring
42,Win,41–1,Donovan Ruddock,UD,12,"Jun 28, 1991","24 years, 363 days","The Mirage, Paradise, Nevada, U.S.",
41,Win,40–1,Donovan Ruddock,TKO,"7 (12), 2:22","Mar 18, 1991","24 years, 261 days","The Mirage, Paradise, Nevada, U.S.",
40,Win,39–1,Alex Stewart,TKO,"1 (10), 2:27","Dec 8, 1990","24 years, 161 days","Convention Hall, Atlantic City, New Jersey, U.S.",
39,Win,38–1,Henry Tillman,KO,"1 (10), 2:47","Jun 16, 1990","23 years, 351 days","Caesars Palace, Paradise, Nevada, U.S.",
38,Loss,37–1,Buster Douglas,KO,"10 (12), 1:22","Feb 11, 1990","23 years, 226 days","Tokyo Dome, Tokyo, Japan","Lost WBA, WBC, and IBF heavyweight titles"
37,Win,37–0,Carl Williams,TKO,"1 (12), 1:33","Jul 21, 1989","23 years, 21 days","Convention Hall, Atlantic City, New Jersey, U.S.","Retained WBA, WBC, IBF, and The Ring heavyweight titles"
36,Win,36–0,Frank Bruno,TKO,"5 (12), 2:55","Feb 25, 1989","22 years, 240 days","Las Vegas Hilton, Winchester, Nevada, U.S.","Retained WBA, WBC, IBF, and The Ring heavyweight titles"
35,Win,35–0,Michael Spinks,KO,"1 (12), 1:31","Jun 27, 1988","21 years, 363 days","Convention Hall, Atlantic City, New Jersey, U.S.","Retained WBA, WBC, and IBF heavyweight titles; Won The Ring heavyweight title"
34,Win,34–0,Tony Tubbs,TKO,"2 (12), 2:54","Mar 21, 1988","21 years, 265 days","Tokyo Dome, Tokyo, Japan","Retained WBA, WBC, and IBF heavyweight titles"
