No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
61,Loss,56–5,Trevor Berbick,UD,10,"Dec 11, 1981","39 years, 328 days","Queen Elizabeth Sports Centre, Nassau, Bahamas",
60,Loss,56–4,Larry Holmes,RTD,"10 (15), 3:00","Oct 2, 1980","38 years, 259 days","Caesars Palace, Paradise, Nevada, U.S.",For WBC and vacant The Ring heavyweight titles
59,Win,56–3,Leon Spinks,UD,15,"Sep 15, 1978","36 years, 241 days","Superdome, New Orleans, Louisiana, U.S.",Won WBA and The Ring heavyweight titles
58,Loss,55–3,Leon Spinks,SD,15,"Feb 15, 1978","36 years, 29 days","Las Vegas Hilton, Winchester, Nevada, U.S.","Lost WBA, WBC, and The Ring heavyweight titles"
57,Win,55–2,Earnie Shavers,UD,15,"Sep 29, 1977","35 years, 255 days","Madison Square Garden, New York City, New York, U.S.","Retained WBA, WBC, and The Ring heavyweight titles"
56,Win,54–2,Alfredo Evangelista,UD,15,"May 16, 1977","35 years, 119 days","Capital Centre, Landover, Maryland, U.S.","Retained WBA, WBC, and The Ring heavyweight titles"
55,Win,53–2,Ken Norton,UD,15,"Sep 28, 1976","34 years, 255 days","Yankee Stadium, New York City, New York, U.S.","Retained WBA, WBC, and The Ring heavyweight titles"
54,Win,52–2,Richard Dunn,TKO,"5 (15), 2:05","May 24, 1976","34 years, 128 days","Olympiahalle, Munich, West Germany","Retained WBA, WBC, and The Ring heavyweight titles"
53,Win,51–2,Jimmy Young,UD,15,"Apr 30, 1976","34 years, 104 days","Capital Centre, Landover, Maryland, U.S.","Retained WBA, WBC, and The Ring heavyweight titles"
52,Win,50–2,Jean-Pierre Coopman,KO,"5 (15), 2:46","Feb 20, 1976","34 years, 34 days","Roberto Clemente Coliseum, San Juan, Puerto Rico","Retained WBA, WBC, and The Ring heavyweight titles"
51,Win,49–2,Joe Frazier,RTD,"14 (15), 3:00","Oct 1, 1975","33 years, 257 days","Philippine Coliseum, Quezon City, Philippines","Retained WBA, WBC, and The Ring heavyweight titles"
50,Win,48–2,Joe Bugner,UD,15,"July 1, 1975[376]","33 years, 164 days","Stadium Merdeka, Kuala Lumpur, Malaysia","Retained WBA, WBC, and The Ring heavyweight titles"
