No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
29,Win,29–0,Kim Ye-joon,KO,"4 (12), 2:25",24 Jan 2025,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles"
28,Win,28–0,TJ Doheny,TKO,"7 (12), 0:16",3 Sep 2024,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles"
27,Win,27–0,Luis Nery,KO,"6 (12), 1:39",6 May 2024,"Tokyo Dome, Tokyo, Japan","Retained WBA (Super), WBC, IBF, WBO, and The Ring super bantamweight titles"
26,Win,26–0,Marlon Tapales,KO,"10 (12), 1:02",26 Dec 2023,"Ariake Arena, Tokyo, Japan","Retained WBC and WBO super bantamweight titles; Won WBA (Super), IBF, and vacant The Ring super bantamweight titles"
25,Win,25–0,Stephen Fulton,TKO,"8 (12), 1:14",25 Jul 2023,"Ariake Arena, Tokyo, Japan",Won WBC and WBO super bantamweight titles
24,Win,24–0,Paul Butler,KO,"11 (12), 1:09",13 Dec 2022,"Ariake Arena, Tokyo, Japan","Retained WBA (Super), WBC, IBF, and The Ring bantamweight titles; Won WBO bantamweight title"
23,Win,23–0,Nonito Donaire,TKO,"2 (12), 1:24",7 Jun 2022,"Super Arena, Saitama, Japan","Retained WBA (Super), IBF, and The Ring bantamweight titles; Won WBC bantamweight title"
22,Win,22–0,Aran Dipaen,TKO,"8 (12), 2:34",14 Dec 2021,"Ryōgoku Kokugikan, Tokyo, Japan","Retained WBA (Super), IBF, and The Ring bantamweight titles"
21,Win,21–0,Michael Dasmariñas,KO,"3 (12), 2:45",19 Jun 2021,"Virgin Hotels Las Vegas, Paradise, Nevada, U.S.","Retained WBA (Super), IBF, and The Ring bantamweight titles"
20,Win,20–0,Jason Moloney,KO,"7 (12), 2:59",31 Oct 2020,"MGM Grand Conference Center, Paradise, Nevada, U.S.","Retained WBA (Super), IBF, and The Ring bantamweight titles"
19,Win,19–0,Nonito Donaire,UD,12,7 Nov 2019,"Super Arena, Saitama, Japan",Retained IBF and The Ring bantamweight titles; Won WBA (Super) bantamweight title; World Boxing Super Series: bantamweight final
18,Win,18–0,Emmanuel Rodríguez,KO,"2 (12), 1:20",18 May 2019,"SSE Hydro, Glasgow, Scotland",Retained WBA (Unified) bantamweight title; Won IBF and vacant The Ring bantamweight titles; World Boxing Super Series: bantamweight semi-final
17,Win,17–0,Juan Carlos Payano,KO,"1 (12), 1:10",7 Oct 2018,"Yokohama Arena, Yokohama, Kanagawa, Japan",Retained WBA (Regular) bantamweight title; World Boxing Super Series: bantamweight quarter-final
16,Win,16–0,Jamie McDonnell,KO,"1 (12), 1:52",25 May 2018,"Ota City General Gymnasium, Tokyo, Japan",Won WBA (Regular) bantamweight title
15,Win,15–0,Yoan Boyeaux,KO,"3 (12), 1:40",30 Dec 2017,"Cultural Gymnasium, Yokohama, Kanagawa, Japan",Retained WBO junior bantamweight title
14,Win,14–0,Antonio Nieves,RTD,"6 (12), 3:00",9 Sep 2017,"Dignity Health Sports Park, Carson, California, U.S.",Retained WBO junior bantamweight title
13,Win,13–0,Ricardo Rodriguez,KO,"3 (12), 1:08",21 May 2017,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title
12,Win,12–0,Kohei Kono,KO,"6 (12), 1:01",30 Dec 2016,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title
11,Win,11–0,Petchbarngborn Kokietgym,KO,"10 (12), 3:03",4 Sep 2016,"Sky Arena, Zama, Kanagawa, Japan",Retained WBO junior bantamweight title
10,Win,10–0,David Carmona,UD,12,8 May 2016,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title
9,Win,9–0,Warlito Parrenas,KO,"2 (12), 1:20",29 Dec 2015,"Ariake Coliseum, Tokyo, Japan",Retained WBO junior bantamweight title
8,Win,8–0,Omar Narváez,KO,"2 (12), 3:01",30 Dec 2014,"Metropolitan Gymnasium, Tokyo, Japan",Won WBO junior bantamweight title
7,Win,7–0,Samartlek Kokietgym,TKO,"11 (12), 1:08",5 Sep 2014,"Yoyogi National Gymnasium, Tokyo, Japan",Retained WBC light flyweight title
6,Win,6–0,Adrián Hernández,KO,"6 (12), 2:54",6 Apr 2014,"Ota City General Gymnasium, Tokyo, Japan",Won WBC light flyweight title
5,Win,5–0,Jerson Mancio,TKO,"5 (12), 2:51",6 Dec 2013,"Ryōgoku Kokugikan, Tokyo, Japan",Won vacant OPBF light flyweight title
4,Win,4–0,Ryoichi Taguchi,UD,10,25 Aug 2013,"Sky Arena, Zama, Kanagawa, Japan",Won Japanese light flyweight title
3,Win,3–0,Yūki Sano,TKO,"10 (10), 1:09",16 Apr 2013,"Korakuen Hall, Tokyo, Japan",
2,Win,2–0,Ngaoprajan Chuwatana,KO,"1 (8), 1:50",5 Jan 2013,"Korakuen Hall, Tokyo, Japan",
1,Win,1–0,Crison Omayao,KO,"4 (8), 2:04",2 Oct 2012,"Korakuen Hall, Tokyo, Japan",
