No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
37,Win,36–1,Manuel Calvo,UD,12,18 May 2002,"London Arena, London, England",Won vacant IBO featherweight title
36,Loss,35–1,Marco Antonio Barrera,UD,12,7 Apr 2001,"MGM Grand Garden Arena, Paradise, Nevada, US",For vacant IBO featherweight title
35,Win,35–0,Augie Sanchez,TKO,"4 (12), 2:34",19 Aug 2000,"Foxwoods Resort Casino, Ledyard, Connecticut, US",Retained WBO featherweight title
34,Win,34–0,Vuyani Bungu,TKO,"4 (12), 1:38",11 Mar 2000,"London Olympia, London, England",Retained WBO featherweight title
33,Win,33–0,César Soto,UD,12,22 Oct 1999,"Joe Louis Arena, Detroit, Michigan, US",Retained WBO featherweight title; Won WBC featherweight title
32,Win,32–0,Paul Ingle,TKO,"11 (12), 0:45",10 Apr 1999,"MEN Arena, Manchester, England",Retained WBO featherweight title
31,Win,31–0,Wayne McCullough,UD,12,31 Oct 1998,"Bally's Park Place, Atlantic City, New Jersey, US",Retained WBO featherweight title
30,Win,30–0,Wilfredo Vázquez,TKO,"7 (12), 2:29",18 Apr 1998,"NYNEX Arena, Manchester, England",Retained WBO featherweight title
29,Win,29–0,Kevin Kelley,KO,"4 (12), 2:27",19 Dec 1997,"Madison Square Garden, New York City, New York, US",Retained WBO featherweight title
28,Win,28–0,Jose Badillo,TKO,"7 (12), 1:37",11 Oct 1997,"Sheffield Arena, Sheffield, England",Retained WBO featherweight title
27,Win,27–0,Juan Gerardo Cabrera,TKO,"2 (12), 2:17",19 Jul 1997,"Wembley Arena, London, England",Retained IBF and WBO featherweight titles
26,Win,26–0,Billy Hardy,TKO,"1 (12), 1:33",3 May 1997,"NYNEX Arena, Manchester, England",Retained IBF and WBO featherweight titles
25,Win,25–0,Tom Johnson,TKO,"8 (12), 2:27",8 Feb 1997,"London Arena, London, England",Retained WBO featherweight title; Won IBF featherweight title
24,Win,24–0,Remigio Molina,TKO,2 (12),9 Nov 1996,"NYNEX Arena, Manchester, England",Retained WBO featherweight title
23,Win,23–0,Manuel Medina,RTD,"11 (12), 3:00",31 Aug 1996,"Point Theatre, Dublin, Ireland",Retained WBO featherweight title
22,Win,22–0,Daniel Alicea,TKO,"2 (12), 2:46",8 Jun 1996,"Telewest Arena, Newcastle, England",Retained WBO featherweight title
21,Win,21–0,Said Lawal,KO,"1 (12), 0:35",16 Mar 1996,"Exhibition and Conference Centre, Glasgow, Scotland",Retained WBO featherweight title
20,Win,20–0,Steve Robinson,TKO,"8 (12), 1:40",30 Sep 1995,"Cardiff Arms Park, Cardiff, Wales",Won WBO featherweight title
19,Win,19–0,Juan Polo Perez,KO,"2 (12), 2:00",1 Jul 1995,"Royal Albert Hall, London, England",Retained WBC International super-bantamweight title
18,Win,18–0,Enrique Angeles,KO,2 (12),6 May 1995,"Royal Bath and West Showground, Shepton Mallet, England",Retained WBC International super-bantamweight title
17,Win,17–0,Sergio Rafael Liendo,KO,"2 (12), 1:06",4 Mar 1995,"Forum, Livingston, Scotland",Retained WBC International super-bantamweight title
16,Win,16–0,Armando Castro,KO,"4 (12), 2:11",21 Jan 1995,"Exhibition and Conference Centre, Glasgow, Scotland",Retained WBC International super-bantamweight title
15,Win,15–0,Laureano Ramírez,TKO,"3 (12), 2:40",19 Nov 1994,"National Ice Rink, Cardiff, Wales",Retained WBC International super-bantamweight title
14,Win,14–0,Freddy Cruz,TKO,"6 (12), 2:03",12 Oct 1994,"Ponds Forge, Sheffield, England",Won vacant WBC International super-bantamweight title
13,Win,13–0,Antonio Picardi,TKO,"3 (12), 1:26",17 Aug 1994,"Hillsborough Leisure Centre, Sheffield, England",Retained European bantamweight title
12,Win,12–0,Vincenzo Belcastro,UD,12,11 May 1994,"Ponds Forge, Sheffield, England",Won European bantamweight title
11,Win,11–0,John Miceli,KO,"1 (10), 2:50",9 Apr 1994,"Leisure Centre, Mansfield, England",
10,Win,10–0,Peter Buckley,TKO,"4 (8), 1:47",29 Jan 1994,"National Ice Rink, Cardiff, Wales",
9,Win,9–0,Chris Clarkson,KO,"2 (8), 1:50",24 Sep 1993,"National Basketball Arena, Dublin, Ireland",
8,Win,8–0,Kevin Jenkins,TKO,"3 (6), 1:58",26 May 1993,"Leisure Centre, Mansfield, England, England",
7,Win,7–0,Alan Ley,KO,2 (6),24 Feb 1993,"Wembley Conference Centre, London, England",
6,Win,6–0,Peter Buckley,PTS,6,12 Nov 1992,"Everton Park Sports Centre, Liverpool, England",
5,Win,5–0,Des Gargano,KO,4 (6),7 Oct 1992,"Crowtree Leisure Centre, Sunderland, England",
4,Win,4–0,Miguel Matthews,TKO,"3 (6), 1:05",14 Jul 1992,"Grosvenor House Hotel, London, England",
3,Win,3–0,Andrew Bloomer,TKO,"2 (6), 0:46",23 May 1992,"National Exhibition Centre, Birmingham, England",
2,Win,2–0,Shaun Norman,KO,"2 (6), 0:55",25 Apr 1992,"G-Mex Centre, Manchester, England",
1,Win,1–0,Ricky Beard,KO,"2 (6), 2:36",14 Feb 1992,"Leisure Centre, Mansfield, England",
