No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
50,Loss,42–8,Alexandro Santiago,UD,12,"Jul 29, 2023","40 years, 255 days","T-Mobile Arena, Paradise, Nevada, U.S.",For vacant WBC bantamweight title
49,Loss,42–7,Naoya Inoue,TKO,"2 (12), 1:24","Jun 7, 2022","39 years, 203 days","Super Arena, Saitama, Japan","Lost WBC bantamweight title; For WBA (Super), IBF, and The Ring bantamweight titles"
48,Win,42–6,Reymart Gaballo,KO,"4 (12), 2:59","Dec 11, 2021","39 years, 25 days","Dignity Health Sports Park, Carson, California, U.S.",Retained WBC bantamweight title
47,Win,41–6,Nordine Oubaali,KO,"4 (12), 1:52","May 29, 2021","38 years, 194 days","Dignity Health Sports Park, Carson, California, U.S.",Won WBC bantamweight title
46,Loss,40–6,Naoya Inoue,UD,12,"Nov 7, 2019","36 years, 356 days","Super Arena, Saitama, Japan",Lost WBA (Super) bantamweight title; For IBF and The Ring bantamweight titles; World Boxing Super Series: bantamweight final
45,Win,40–5,Stephon Young,KO,"6 (12), 2:37","Apr 27, 2019","36 years, 162 days","Cajundome, Lafayette, Louisiana, U.S.",Retained WBA (Super) bantamweight title; World Boxing Super Series: bantamweight semi-final
44,Win,39–5,Ryan Burnett,RTD,"4 (12), 3:00","Nov 3, 2018","35 years, 352 days","The SSE Hydro, Glasgow, Scotland",Won WBA (Super) bantamweight title World Boxing Super Series: bantamweight quarter-final
43,Loss,38–5,Carl Frampton,UD,12,"Apr 21, 2018","35 years, 156 days","SSE Arena, Belfast, Northern Ireland",For vacant WBO interim featherweight title
42,Win,38–4,Ruben Garcia Hernandez,UD,10,"Sep 23, 2017","34 years, 311 days","Alamodome, San Antonio, Texas, U.S.",Won vacant WBC Silver featherweight title
41,Loss,37–4,Jessie Magdaleno,UD,12,"Nov 5, 2016","33 years, 355 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Lost WBO super bantamweight title
40,Win,37–3,Zsolt Bedák,TKO,"3 (12), 2:44","Apr 23, 2016","33 years, 159 days","Sports Complex, Cebu City, Philippines",Retained WBO super bantamweight title
39,Win,36–3,Cesar Juarez,UD,12,"Dec 11, 2015","33 years, 25 days","Roberto Clemente Coliseum, San Juan, Puerto Rico",Won vacant WBO super bantamweight title
38,Win,35–3,Anthony Settoul,TKO,"2 (10), 1:41","Jul 18, 2015","32 years, 244 days","Cotai Arena, Macau, SAR",
37,Win,34–3,William Prado,TKO,"2 (12), 2:16","Mar 28, 2015","32 years, 132 days","Smart Araneta Coliseum, Quezon City, Philippines",Won vacant NABF super bantamweight title
36,Loss,33–3,Nicholas Walters,TKO,"6 (12), 2:59","Oct 18, 2014","31 years, 336 days","StubHub Center, Carson, California, U.S.",Lost WBA (Undisputed) featherweight title
35,Win,33–2,Simpiwe Vetyeka,TD,"5 (12), 0:01","May 31, 2014","31 years, 196 days","Cotai Arena, Macau, SAR",Won WBA (Undisputed) featherweight title Unanimous TD: Donaire cut from an accidental head clash
34,Win,32–2,Vic Darchinyan,TKO,"9 (10), 2:06","Nov 9, 2013","30 years, 358 days","American Bank Center, Corpus Christi, Texas, U.S.",
