No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
23,Win,23–0,Tyson Fury,UD,12,21 Dec 2024,"Kingdom Arena, Riyadh, Saudi Arabia","Retained WBA (Super), WBC, WBO, IBO, and The Ring heavyweight titles"
22,Win,22–0,Tyson Fury,SD,12,18 May 2024,"Kingdom Arena, Riyadh, Saudi Arabia","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles;  Won WBC heavyweight title"
21,Win,21–0,Daniel Dubois,KO,"9 (12), 1:48",26 Aug 2023,"Stadion Wrocław, Wrocław, Poland","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
20,Win,20–0,Anthony Joshua,SD,12,20 Aug 2022,"King Abdullah Sports City, Jeddah, Saudi Arabia","Retained WBA (Super), IBF, WBO, and IBO heavyweight titles; Won vacant The Ring heavyweight title"
19,Win,19–0,Anthony Joshua,UD,12,25 Sep 2021,"Tottenham Hotspur Stadium, London, England","Won WBA (Super), IBF, WBO, and IBO heavyweight titles"
18,Win,18–0,Derek Chisora,UD,12,31 Oct 2020,"The SSE Arena, London, England",Won WBO Inter-Continental heavyweight title
17,Win,17–0,Chazz Witherspoon,RTD,"7 (12), 3:00",12 Oct 2019,"Wintrust Arena, Chicago, Illinois, US",
16,Win,16–0,Tony Bellew,KO,"8 (12), 2:00",10 Nov 2018,"Manchester Arena, Manchester, England","Retained WBA (Super), WBC, IBF, WBO, and The Ring cruiserweight titles"
15,Win,15–0,Murat Gassiev,UD,12,21 Jul 2018,"Olympic Stadium, Moscow, Russia","Retained WBC and WBO cruiserweight titles; Won WBA (Super), IBF and vacant The Ring cruiserweight titles; World Boxing Super Series: cruiserweight final"
14,Win,14–0,Mairis Briedis,MD,12,27 Jan 2018,"Arēna Rīga, Riga, Latvia",Retained WBO cruiserweight title; Won WBC cruiserweight title; World Boxing Super Series: cruiserweight semi-final
13,Win,13–0,Marco Huck,TKO,"10 (12), 2:12",9 Sep 2017,"Max-Schmeling-Halle, Berlin, Germany",Retained WBO cruiserweight title; World Boxing Super Series: cruiserweight quarter-final
12,Win,12–0,Michael Hunter,UD,12,8 Apr 2017,"MGM National Harbor, Oxon Hill, Maryland, US",Retained WBO cruiserweight title
11,Win,11–0,Thabiso Mchunu,TKO,"9 (12), 1:53",17 Dec 2016,"The Forum, Inglewood, California, US",Retained WBO cruiserweight title
10,Win,10–0,Krzysztof Głowacki,UD,12,17 Sep 2016,"Ergo Arena, Gdańsk, Poland",Won WBO cruiserweight title
9,Win,9–0,Pedro Rodriguez,TKO,"7 (12), 1:57",12 Dec 2015,"Palace of Sports, Kyiv, Ukraine",Retained WBO Inter-Continental cruiserweight title
8,Win,8–0,Johnny Muller,TKO,"3 (12), 2:59",29 Aug 2015,"Palace of Sports, Kyiv, Ukraine",Retained WBO Inter-Continental cruiserweight title
7,Win,7–0,Andrey Knyazev,TKO,"8 (10), 2:24",18 Apr 2015,"Palace of Sports, Kyiv, Ukraine",Retained WBO Inter-Continental cruiserweight title
6,Win,6–0,Danie Venter,TKO,"9 (10), 2:29",13 Dec 2014,"Palace of Sports, Kyiv, Ukraine",Retained WBO Inter-Continental cruiserweight title
5,Win,5–0,Daniel Bruwer,TKO,"7 (10), 2:55",4 Oct 2014,"Arena Lviv, Lviv, Ukraine",Won vacant WBO interim Inter-Continental cruiserweight title
4,Win,4–0,Cesar David Crenz,KO,"4 (8), 2:19",31 May 2014,"Sports Palace, Odesa, Ukraine",
3,Win,3–0,Ben Nsafoah,KO,"3 (8), 1:43",26 Apr 2014,"König Pilsener Arena, Oberhausen, Germany",
2,Win,2–0,Epifanio Mendoza,TKO,"4 (6), 2:10",7 Dec 2013,"Ice Arena TEC Terminal, Brovary, Ukraine",
1,Win,1–0,Felipe Romero,TKO,"5 (6), 1:36",9 Nov 2013,"Palace of Sports, Kyiv, Ukraine",
