No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
45,Loss,39–6,Manny Pacquiao,RTD,"8 (12), 3:00","Dec 6, 2008","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
44,Win,39–5,Steve Forbes,UD,12,"May 3, 2008","Home Depot Center, Carson, California, U.S.",
43,Loss,38–5,Floyd Mayweather Jr.,SD,12,"May 5, 2007","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Lost WBC light middleweight title
42,Win,38–4,Ricardo Mayorga,TKO,"6 (12), 1:25","May 6, 2006","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC light middleweight title
41,Loss,37–4,Bernard Hopkins,KO,"9 (12), 1:38","Sep 18, 2004","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Lost WBO middleweight title; For WBA (Undisputed), WBC, IBF, and The Ring middleweight titles"
40,Win,37–3,Felix Sturm,UD,12,"Jun 5, 2004","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBO middleweight title
39,Loss,36–3,Shane Mosley,UD,12,"Sep 13, 2003","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Lost WBA (Unified), WBC, IBA, and The Ring light middleweight titles"
38,Win,36–2,Yori Boy Campas,TKO,"7 (12), 2:54","May 3, 2003","Mandalay Bay Events Center, Paradise, Nevada, U.S.","Retained WBA (Unified), WBC, IBA, and The Ring light middleweight titles"
37,Win,35–2,Fernando Vargas,TKO,"11 (12), 1:48","Sep 14, 2002","Mandalay Bay Events Center, Paradise, Nevada, U.S.","Retained WBC light middleweight title; Won WBA (Unified), IBA, and vacant The Ring light middleweight titles"
36,Win,34–2,Javier Castillejo,UD,12,"Jun 23, 2001","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC light middleweight title
35,Win,33–2,Arturo Gatti,TKO,"5 (12), 1:16","Mar 24, 2001","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
34,Loss,32–2,Shane Mosley,SD,12,"Jun 17, 2000","Staples Center, Los Angeles, California, U.S.",Lost WBC and IBA welterweight titles
33,Win,32–1,Derrell Coley,KO,"7 (12), 3:00","Feb 26, 2000","Madison Square Garden, New York City, New York, U.S.",Won vacant IBA welterweight title
32,Loss,31–1,Félix Trinidad,MD,12,"Sep 18, 1999","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Lost WBC welterweight title; For IBF welterweight title
31,Win,31–0,Oba Carr,TKO,"11 (12), 0:55","May 22, 1999","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBC welterweight title
30,Win,30–0,Ike Quartey,SD,12,"Feb 13, 1999","Thomas & Mack Center, Paradise, Nevada, U.S.",Retained WBC welterweight title
29,Win,29–0,Julio César Chávez,RTD,"8 (12), 3:00","Sep 18, 1998","Thomas & Mack Center, Paradise, Nevada, U.S.",Retained WBC welterweight title
28,Win,28–0,Patrick Charpentier,TKO,"3 (12), 1:56","Jun 13, 1998","Sun Bowl, El Paso, Texas, U.S.",Retained WBC welterweight title
27,Win,27–0,Wilfredo Rivera,TKO,"8 (12), 2:48","Dec 6, 1997","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Retained WBC welterweight title
