No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
44,Loss,36–8,Sam Eggington,KO,"8 (12), 1:50","Mar 4, 2017","The O2 Arena, London, England",For WBC International welterweight title
43,Win,36–7,Gabriel Bracero,UD,10,"Jul 30, 2016","Barclays Center, New York City, New York, U.S.",
42,Win,35–7,Antonio Moscatiello,UD,12,"Dec 12, 2015","The O2 Arena, London, England",Won vacant European Union welterweight title
41,Win,34–7,Laszlo Fazekas,UD,8,"Sep 26, 2015","Teatro Principe, Milan, Italy",
40,Loss,33–7,Danny Garcia,TKO,"9 (12), 2:22","Aug 1, 2015","Barclays Center, New York City, New York, U.S.",
39,Loss,33–6,Shawn Porter,TKO,"4 (12), 1:14","Apr 19, 2014","D.C. Armory, Washington, D.C.",For IBF welterweight title
38,Win,33–5,Zab Judah,UD,12,"Dec 7, 2013","Barclays Center, New York City, New York, U.S.",Won vacant WBC-NABF welterweight title
37,Loss,32–5,Adrien Broner,SD,12,"Jun 22, 2013","Barclays Center, New York City, New York, U.S.",Lost WBA (Regular) welterweight title
36,Win,32–4,Pablo César Cano,SD,12,"Oct 20, 2012","Barclays Center, New York City, New York, U.S.",Cano failed to make weight so the title was not at stake.[54]
35,Win,31–4,Vyacheslav Senchenko,TKO,"9 (12), 1:10","Apr 29, 2012","Donbas Arena, Donetsk, Ukraine",Won WBA (Regular) welterweight title
34,Win,30–4,Orlando Lora,UD,10,"Oct 15, 2011","Staples Center, Los Angeles, California, U.S.",
33,Win,29–4,José Cotto,UD,10,"Apr 9, 2011","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
32,Win,28–4,Michael Lozada,TKO,"6 (10), 2:33","Dec 18, 2010","Colisée Pepsi, Quebec City, Quebec, Canada",
31,Loss,27–4,Amir Khan,TKO,"11 (12), 1:25","May 15, 2010","The Theater at Madison Square Garden, New York, U.S.",For WBA light welterweight title
30,Win,27–3,Juan Díaz,UD,12,"Dec 12, 2009","UIC Pavilion, Chicago, Illinois, U.S.",Won WBO–NABO light welterweight title
29,Loss,26–3,Juan Díaz,UD,12,"Aug 22, 2009","Toyota Center, Houston, Texas, U.S.",For vacant WBO–NABO light welterweight title
28,Win,26–2,Christopher Fernandez,UD,8,"Apr 25, 2009","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
27,Loss,25–2,Ricky Hatton,TKO,"11 (12), 0:48","Nov 22, 2008","MGM Grand Garden Arena, Paradise, Nevada, U.S.",For IBO and The Ring light welterweight titles
26,Win,25–1,Lovemore N'dou,SD,12,"May 24, 2008","City Stadium, Manchester, England",Retained IBF light welterweight title
25,Win,24–1,Herman Ngoudjo,UD,12,"Jan 5, 2008","Bally's Park Place, Atlantic City, New Jersey, U.S.",Retained IBF light welterweight title
24,Win,23–1,Lovemore N'dou,UD,12,"Jun 16, 2007","Mohegan Sun Arena, Montville, Connecticut, U.S.",Won IBF light welterweight title
23,Win,22–1,Edner Cherry,UD,10,"Feb 17, 2007","Hammerstein Ballroom, New York City, New York, U.S.",
22,Loss,21–1,Miguel Cotto,UD,12,"Jun 10, 2006","Madison Square Garden, New York City, New York, U.S.",For WBO light welterweight title
21,Win,21–0,Donald Camarena,UD,10,"Feb 10, 2006","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",Won WBC Continental Americas light welterweight title
20,Win,20–0,Jeremy Yelton,UD,8,"Aug 25, 2005","Hammerstein Ballroom, New York City, New York, U.S.",
19,Win,19–0,Sandro Casamonica,TD,"7 (12), 3:00","Dec 4, 2004","Barton Coliseum, Little Rock, Arkansas, U.S.",Won WBC International light welterweight title; Unanimous TD after Casamonica was cut from an accidental head clash
18,Win,18–0,Ramiro Cano,UD,10,"Jun 17, 2004","Harrah's, Laughlin, Nevada, U.S.",
17,Win,17–0,Rocky Martinez,UD,10,"Apr 22, 2004","Manhattan Center Grand Ballroom, New York City, New York, U.S.",
16,Win,16–0,Paul Delgado,UD,8,"Dec 6, 2003","Madison Square Garden, New York City, New York, U.S.",
15,Win,15–0,Jesus Abel Santiago,UD,8,"Oct 24, 2003","Jimmy's Bronx Cafe, New York City, New York, U.S.",
14,Win,14–0,Kevin Watts,TKO,"6 (10), 2:09","Aug 1, 2003","Casino Ballroom, Hampton, New Hampshire, U.S.",
13,Win,13–0,Shad Howard,UD,6,"Jun 3, 2003","Mohegan Sun Arena, Montville, Connecticut, U.S.",
12,Win,12–0,Paul Delgado,SD,8,"Nov 23, 2002","Boardwalk Hall, Atlantic City, New Jersey, U.S.",
11,Win,11–0,Chad Lawshe,UD,6,"Oct 13, 2002","Loews Regency Hotel, New York City, New York, U.S.",
10,Win,10–0,Anthony Simpkins,TKO,"2 (6), 2:44","Aug 30, 2002","Harry Cipriani Bar, New York City, New York, U.S.",
9,Win,9–0,Jadschi Green,UD,6,"Jul 26, 2002","Mountaineer Casino Racetrack and Resort, Chester, West Virginia, U.S.",
8,Win,8–0,Andre Baker,UD,6,"May 30, 2002","Days Inn, Allentown, Pennsylvania, U.S.",
7,Win,7–0,Sterling Gethers,UD,4,"Apr 12, 2002","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
6,Win,6–0,Antonio Young,UD,6,"Jan 18, 2002","Hilton Hotel, Huntington, New York, U.S.",
5,Win,5–0,Jose LaPorte,UD,4,"Dec 7, 2001","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
4,Win,4–0,Cornell Jackson,UD,4,"Nov 23, 2001","Roseland Ballroom, New York City, New York, U.S.",
3,Win,3–0,Luis Melendez,KO,"3 (4), 3:00","Nov 10, 2001","Fernwood Hotel & Resort, Bushkill, Pennsylvania, U.S.",
2,Win,2–0,Robert Sowers,TKO,"4 (4), 2:55","Jul 26, 2001","Roseland Ballroom, New York City, New York, U.S.",
1,Win,1–0,Thadeus Parker,TKO,"1 (4), 2:33","Jul 7, 2001","KeySpan Park, New York City, New York, U.S.",
