No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
48,Loss,45–3,Vyacheslav Senchenko,KO,"9 (10), 2:52",24 Nov 2012,"Manchester Arena, Manchester, England",
47,Loss,45–2,Manny Pacquiao,KO,"2 (12), 2:59",2 May 2009,"MGM Grand Garden Arena, Paradise, Nevada, US",Lost IBO and The Ring light-welterweight titles
46,Win,45–1,Paulie Malignaggi,TKO,"11 (12), 0:48",22 Nov 2008,"MGM Grand Garden Arena, Paradise, Nevada, US",Retained IBO and The Ring light-welterweight titles
45,Win,44–1,Juan Lazcano,UD,12,24 May 2008,"City Stadium, Manchester, England",Retained IBO and The Ring light-welterweight titles
44,Loss,43–1,Floyd Mayweather Jr.,TKO,"10 (12), 1:35",8 Dec 2007,"MGM Grand Garden Arena, Paradise, Nevada, US",For WBC and The Ring welterweight titles
43,Win,43–0,José Luis Castillo,KO,"4 (12), 2:16",23 Jun 2007,"Thomas & Mack Center, Paradise, Nevada, US",Retained IBO and The Ring light-welterweight titles; Won vacant WBC International light-welterweight title
42,Win,42–0,Juan Urango,UD,12,20 Jan 2007,"Paris, Paradise, Nevada, US",Retained The Ring light-welterweight title; Won IBF and vacant IBO light-welterweight titles
41,Win,41–0,Luis Collazo,UD,12,13 May 2006,"TD Garden, Boston, Massachusetts, US",Won WBA welterweight title
40,Win,40–0,Carlos Maussa,KO,"9 (12), 1:10",26 Nov 2005,"Hallam FM Arena, Sheffield, England",Retained IBF and The Ring light-welterweight titles; Won WBA (Unified) light-welterweight title
39,Win,39–0,Kostya Tszyu,RTD,"11 (12), 3:00",4 Jun 2005,"MEN Arena, Manchester, England",Won IBF and The Ring light-welterweight titles
38,Win,38–0,Ray Oliveira,KO,"10 (12), 1:38",11 Dec 2004,"ExCeL, London, England",Retained WBU light-welterweight title
37,Win,37–0,Michael Stewart,TKO,"5 (12), 2:57",1 Oct 2004,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
36,Win,36–0,Carlos Wilfredo Vilches,UD,12,12 Jun 2004,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
35,Win,35–0,Dennis Holbæk Pedersen,TKO,"6 (12), 2:32",3 Apr 2004,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
34,Win,34–0,Ben Tackie,UD,12,13 Dec 2003,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
33,Win,33–0,Aldo Nazareno Rios,RTD,"9 (12), 3:00",27 Sep 2003,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
32,Win,32–0,Vince Phillips,UD,12,5 Apr 2003,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
31,Win,31–0,Joe Hutchinson,KO,"4 (12), 1:16",14 Dec 2002,"Telewest Arena, Newcastle, England",Retained WBU light-welterweight title
30,Win,30–0,Stephen Smith,DQ,"2 (12), 0:28",28 Sep 2002,"MEN Arena, Manchester, England",Retained WBU light-welterweight title; Smith disqualified after his cornermen entered the ring
29,Win,29–0,Eamonn Magee,UD,12,1 Jun 2002,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
28,Win,28–0,Mikhail Krivolapov,TKO,"9 (12), 2:31",9 Feb 2002,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
27,Win,27–0,Justin Rowsell,TKO,"2 (12), 0:36",15 Dec 2001,"Wembley Conference Centre, London, England",Retained WBU light-welterweight title
