No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
76,Loss,66–10,Anthony Pettis,MD,8,"Apr 1, 2023","54 years, 75 days","Fiserv Forum, Milwaukee, Wisconsin, U.S.",
75,Win,66–9,Scott Sigmon,UD,10,"Feb 8, 2018","49 years, 23 days","Bay Center, Pensacola, Florida, U.S.",Won vacant WBU (German version) cruiserweight title
74,Win,65–9,Bobby Gunn,TKO,"8 (12), 0:07","Feb 17, 2017","48 years, 32 days","Chase Center, Wilmington, Delaware, U.S.",Won vacant WBF (Foundation) cruiserweight title
73,Win,64–9,Rodney Moore,UD,10,"Aug 13, 2016","47 years, 210 days","Bay Center, Pensacola, Florida, U.S.",
72,Win,63–9,Vyron Phillips,TKO,"2 (6), 2:30","Mar 20, 2016","47 years, 64 days","Celebrity Theatre, Phoenix, Arizona, U.S.",
71,Loss,62–9,Enzo Maccarinelli,KO,"4 (10), 1:59","Dec 12, 2015","46 years, 330 days","VTB Ice Palace, Moscow, Russia",
70,Win,62–8,Eric Watkins,KO,"6 (10), 2:59","Aug 16, 2015","46 years, 212 days","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
69,Win,61–8,Paul Vasquez,TKO,"1 (12), 3:00","Mar 28, 2015","46 years, 71 days","Bay Center, Pensacola, Florida, U.S.",Retained WBU (German version) cruiserweight title
68,Win,60–8,Willie Williams,TKO,"2 (10), 2:38","Mar 6, 2015","46 years, 49 days","Cabarrus Arena, Concord, North Carolina, U.S.",
67,Win,59–8,Hany Atiyo,KO,"1 (12), 1:15","Sep 26, 2014","45 years, 253 days","Basket-Hall, Krasnodar, Russia",Retained WBU (German version) cruiserweight title
66,Win,58–8,Courtney Fry,RTD,"5 (12), 3:00","Jul 26, 2014","45 years, 191 days","Ķīpsala International Exhibition Centre, Riga, Latvia",Retained WBU (German version) cruiserweight title
65,Win,57–8,Zine Eddine Benmakhlouf,UD,12,"Dec 21, 2013","44 years, 339 days","Krylatskoye Sports Palace, Moscow, Russia",Won vacant WBU (German version) cruiserweight title
64,Win,56–8,Paweł Głażewski,SD,10,"Jun 30, 2012","43 years, 166 days","Atlas Arena, Łódź, Poland",
63,Win,55–8,Max Alexander,UD,10,"Dec 10, 2011","42 years, 328 days","Civic Center, Atlanta, Georgia, U.S.",Won vacant UBO Intercontinental cruiserweight title
62,Loss,54–8,Denis Lebedev,KO,"10 (10), 2:58","May 21, 2011","42 years, 125 days","Krylatskoye Sports Palace, Moscow, Russia",
61,Loss,54–7,Bernard Hopkins,UD,12,"Apr 3, 2010","41 years, 77 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",
60,Loss,54–6,Danny Green,TKO,"1 (12), 2:02","Dec 2, 2009","40 years, 320 days","Acer Arena, Sydney, Australia",For IBO cruiserweight title
59,Win,54–5,Jeff Lacy,RTD,"10 (12), 3:00","Aug 15, 2009","40 years, 211 days","Coast Coliseum, Biloxi, Mississippi, U.S.",Retained WBO–NABO light heavyweight title
58,Win,53–5,Omar Sheika,TKO,"5 (12), 1:45","Mar 21, 2009","40 years, 64 days","Civic Center, Pensacola, Florida, U.S.",Won vacant WBO–NABO light heavyweight title
57,Loss,52–5,Joe Calzaghe,UD,12,"Nov 8, 2008","39 years, 297 days","Madison Square Garden, New York City, New York, U.S.",For The Ring light heavyweight title
56,Win,52–4,Félix Trinidad,UD,12,"Jan 19, 2008","39 years, 3 days","Madison Square Garden, New York City, New York, U.S.",
55,Win,51–4,Anthony Hanshaw,UD,12,"Jul 14, 2007","38 years, 179 days","Coast Coliseum, Biloxi, Mississippi, U.S.",Won vacant IBC light heavyweight title
54,Win,50–4,Prince Badi Ajamu,UD,12,"Jul 29, 2006","37 years, 194 days","Qwest Arena, Boise, Idaho, U.S.",Won WBO–NABO light heavyweight title
53,Loss,49–4,Antonio Tarver,UD,12,"Oct 1, 2005","36 years, 258 days","St. Pete Times Forum, Tampa, Florida, U.S.",For IBO and The Ring light heavyweight titles
52,Loss,49–3,Glen Johnson,KO,"9 (12), 0:48","Sep 25, 2004","35 years, 253 days","FedExForum, Memphis, Tennessee, U.S.",For IBF light heavyweight title
51,Loss,49–2,Antonio Tarver,TKO,"2 (12), 1:41","May 15, 2004","35 years, 120 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.","Lost WBA (Unified), WBC, IBO, IBA and The Ring light heavyweight titles; For vacant WBF (Foundation) light heavyweight title"
50,Win,49–1,Antonio Tarver,MD,12,"Nov 8, 2003","34 years, 296 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained IBO and The Ring light heavyweight titles; Won WBC and vacant WBA (Unified) light heavyweight titles
49,Win,48–1,John Ruiz,UD,12,"Mar 1, 2003","34 years, 44 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Won WBA heavyweight title
48,Win,47–1,Clinton Woods,TKO,"6 (12), 1:29","Sep 7, 2002","33 years, 234 days","Rose Garden, Portland, Oregon, U.S.","Retained WBA (Unified), WBC, IBF, IBO, WBF (Federation), NBA, IBA and The Ring light heavyweight titles"
47,Win,46–1,Glen Kelly,KO,"7 (12), 1:55","Feb 2, 2002","33 years, 17 days","American Airlines Arena, Miami, Florida, U.S.","Retained WBA (Super), WBC, IBF, IBO, WBF (Federation), NBA, IBA and The Ring light heavyweight titles"
46,Win,45–1,Julio César González,UD,12,"Jul 28, 2001","32 years, 193 days","Staples Center, Los Angeles, California, U.S.","Retained WBA (Super), WBC, IBF, NBA and IBO light heavyweight titles; Won vacant WBF (Federation) and IBA light heavyweight titles"
45,Win,44–1,Derrick Harmon,RTD,"10 (12), 3:00","Feb 24, 2001","32 years, 39 days","Ice Palace, Tampa, Florida, U.S.","Retained WBA (Super), WBC, IBF and IBO light heavyweight titles; Won vacant NBA light heavyweight title"
