No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
26,NC,24–1 (1),Devin Haney,NC,12,"Apr 20, 2024","Barclays Center, New York City, New York, U.S.","WBC super lightweight title not at stake as Garcia missed weight; Originally an MD win for Garcia, overturned after he failed a drug test"
25,Win,24–1,Oscar Duarte,KO,"8 (12), 2:51","Dec 2, 2023","Toyota Center, Houston Texas, U.S.",
24,Loss,23–1,Gervonta Davis,KO,"7 (12), 1:44","Apr 22, 2023","T-Mobile Arena, Paradise, Nevada, U.S.",
23,Win,23–0,Javier Fortuna,KO,"6 (12), 0:27","Jul 16, 2022","Crypto.com Arena, Los Angeles, California",
22,Win,22–0,Emmanuel Tagoe,UD,12,"Apr 9, 2022","Alamodome, San Antonio, Texas, U.S.",
21,Win,21–0,Luke Campbell,TKO,"7 (12), 1:58","Jan 2, 2021","American Airlines Center, Dallas, Texas, U.S.",Won vacant WBC interim lightweight title
20,Win,20–0,Francisco Fonseca,KO,"1 (12), 1:20","Feb 14, 2020","Honda Center, Anaheim, California, U.S.",Retained WBC Silver lightweight title
19,Win,19–0,Romero Duno,KO,"1 (12), 1:38","Nov 2, 2019","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBO-NABO and vacant WBC Silver lightweight titles
18,Win,18–0,Jose Lopez,RTD,"2 (10), 3:00","Mar 30, 2019","Fantasy Springs Resort Casino, Indio, California, U.S.",
17,Win,17–0,Braulio Rodriguez,KO,"5 (10), 1:14","Dec 15, 2018","Madison Square Garden, New York City, New York, U.S.",
16,Win,16–0,Carlos Morales,MD,10,"Sep 1, 2018","Fantasy Springs Casino, Indio, California, U.S.",
15,Win,15–0,Jayson Vélez,UD,10,"May 4, 2018","StubHub Center, Carson, California, U.S.",Won vacant WBC-NABF and WBO-NABO super featherweight titles
14,Win,14–0,Fernando Vargas Parra,KO,"1 (10), 2:55","Mar 22, 2018","Fantasy Springs Casino, Indio, California, U.S.",Retained WBC-NABF Junior super featherweight title
13,Win,13–0,Noe Martinez Raygoza,TKO,"8 (8), 1:45","Dec 16, 2017","Place Bell, Laval, Quebec, Canada",
12,Win,12–0,Cesar Alan Valenzuela,TKO,"3 (8), 2:59","Nov 2, 2017","Casino Del Sol, Tucson, Arizona, U.S.",Retained WBC-NABF Junior super featherweight title
11,Win,11–0,Miguel Carrizoza,KO,"1 (8), 0:30","Sep 15, 2017","MGM Grand Marquee Ballroom, Paradise, Nevada, U.S.",Won vacant WBC-NABF Junior super featherweight title
10,Win,10–0,Mario Macias,KO,"1 (4), 1:14","Jul 15, 2017","The Forum, Inglewood, California, U.S.",
9,Win,9–0,Tyrone Luckey,TKO,"2 (6), 2:20","May 6, 2017","T-Mobile Arena, Paradise, Nevada, U.S.",
8,Win,8–0,Devon Jonnes,KO,"2 (6), 0:55","Feb 3, 2017","Belasco Theater, Los Angeles, California",
7,Win,7–0,José Antonio Martínez,KO,"2 (6), 2:00","Dec 17, 2016","The Forum, Inglewood, California, U.S.",
6,Win,6–0,Mario Aguirre,RTD,"2 (4), 3:00","Oct 14, 2016","Sportsmen's Lodge, Studio City, California, U.S.",
5,Win,5–0,Jonathan Cruz,TKO,"2 (4), 1:44","Aug 17, 2016","Exchange LA, Los Angeles, California",
4,Win,4–0,Cristian Jesus Cruz,UD,4,"Jul 27, 2016","Rancho Grande Bar, Tijuana, Baja California, Mexico",
3,Win,3–0,Luis Lozano,TKO,"1 (4), 1:40","Jul 7, 2016","Rancho Grande Bar, Tijuana, Baja California, Mexico",
2,Win,2–0,Hector García,TKO,"1 (4), 1:12","Jun 24, 2016","Billar El Perro Salado, Tijuana, Baja California, Mexico",
1,Win,1–0,Edgar Meza,TKO,"1 (4), 2:55","Jun 9, 2016","Rancho Grande Bar, Tijuana, Baja California, Mexico",
