No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
23,Win,23–0,Josh Padley,TKO,9 (12) 3:00,"Feb 22, 2025","The Venue Riyadh Season, Riyadh, Saudi Arabia",Retained WBC lightweight title
22,Win,22–0,Artem Harutyunyan,UD,12,"Jul 6, 2024","Prudential Center, Newark, New Jersey, U.S.",Retained WBC lightweight title
21,Win,21–0,Edwin De Los Santos,UD,12,"Nov 16, 2023","T-Mobile Arena, Paradise, Nevada, U.S.",Won vacant WBC lightweight title
20,Win,20–0,Shuichiro Yoshino,TKO,6 (12) 1:35,"Apr 8, 2023","Prudential Center, Newark, New Jersey, U.S.",
19,Win,19–0,Robson Conceição,UD,12,"Sep 23, 2022","Prudential Center, Newark, New Jersey, U.S.","WBC, WBO, and The Ring super featherweight titles at stake only for Conceição as Stevenson missed weight"
18,Win,18–0,Óscar Valdez,UD,12,"Apr 30, 2022","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBO super featherweight title; Won WBC and vacant The Ring super featherweight titles
17,Win,17–0,Jamel Herring,TKO,"10 (12), 1:30","Oct 23, 2021","State Farm Arena, Atlanta, Georgia, U.S.",Won WBO super featherweight title
16,Win,16–0,Jeremiah Nakathila,UD,12,"Jun 12, 2021","Virgin Hotels Las Vegas, Paradise, Nevada, U.S.",Won vacant WBO interim super featherweight title
15,Win,15–0,Toka Khan Clary,UD,10,"Dec 12, 2020","MGM Grand Conference Center, Paradise, Nevada, U.S.",
14,Win,14–0,Felix Caraballo,KO,"6 (10), 1:31","Jun 9, 2020","MGM Grand Conference Center, Paradise, Nevada, U.S.",
13,Win,13–0,Joet Gonzalez,UD,12,"Oct 26, 2019","Sparks Convention Center, Reno, Nevada, U.S.",Won vacant WBO featherweight title
12,Win,12–0,Alberto Guevara,KO,"3 (10), 2:37","Jul 13, 2019","Prudential Center, Newark, New Jersey, U.S.",Retained NABO featherweight title
11,Win,11–0,Christopher Diaz,UD,10,"Apr 20, 2019","Madison Square Garden, New York City, New York, U.S.",Retained IBF Inter-Continental featherweight title; Won vacant NABO featherweight title
10,Win,10–0,Jessie Cris Rosales,TKO,"4 (10), 1:29","Jan 18, 2019","Turning Stone Resort Casino, Verona, New York, U.S.",Won vacant IBF Inter-Continental and WBC Continental Americas featherweight titles
9,Win,9–0,Viorel Simion,TKO,"1 (10), 3:00","Oct 13, 2018","CHI Health Center, Omaha, Nebraska, U.S.",
8,Win,8–0,Carlos Ruiz,UD,8,"Aug 18, 2018","Ocean Resort Casino, Atlantic City, New Jersey, U.S.",
7,Win,7–0,Aelio Mesquita,TKO,"2 (8), 1:45","Jun 9, 2018","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
6,Win,6–0,Roxberg Patrick Riley,TKO,"2 (8), 1:35","Apr 28, 2018","Liacouras Center, Philadelphia, Pennsylvania, U.S.",
5,Win,5–0,Juan Tapia,UD,8,"Feb 16, 2018","Grand Sierra Resort, Reno, Nevada, U.S.",
4,Win,4–0,Oscar Mendoza,TKO,"2 (6), 1:38","Dec 9, 2017","The Theater at Madison Square Garden, New York City, New York, U.S.",
3,Win,3–0,David Michel Paz,UD,6,"Aug 19, 2017","Pinnacle Bank Arena, Lincoln, Nebraska, U.S.",
2,Win,2–0,Carlos Gaston Suarez,TKO,"1 (6), 2:35","May 20, 2017","Madison Square Garden, New York City, New York, U.S.",
1,Win,1–0,Edgar Brito,TD,"6 (6), 3:00","Apr 22, 2017","Stubhub Center, Carson, California, U.S.",Unanimous TD: Brito cut from an accidental head clash
