No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
61,Loss,49–10–1 (1),David Avanesyan,UD,12,"May 28, 2016","Gila River Arena, Glendale, Arizona, U.S.",For WBA interim welterweight title
60,Win,49–9–1 (1),Patrick López,TKO,"10 (10), 2:00","Dec 17, 2015","Roberto Durán Arena, Panama City, Panama",Won vacant WBA Continental light middleweight title
59,Win,48–9–1 (1),Ricardo Mayorga,KO,"6 (12), 2:59","Aug 29, 2015","The Forum, Inglewood, California, U.S.",
58,Loss,47–9–1 (1),Anthony Mundine,RTD,"6 (12), 3:00","Nov 27, 2013","Allphones Arena, Sydney, Australia",For vacant WBA International light middleweight title
57,Win,47–8–1 (1),Pablo César Cano,UD,12,"May 18, 2013","Grand Oasis, Cancún, Mexico",Won vacant WBC International welterweight title
56,Loss,46–8–1 (1),Canelo Álvarez,UD,12,"May 5, 2012","MGM Grand Garden Arena, Paradise, Nevada, U.S.",For WBC light middleweight title
55,Loss,46–7–1 (1),Manny Pacquiao,UD,12,"May 7, 2011","MGM Grand Garden Arena, Paradise, Nevada, U.S.",For WBO welterweight title
54,Draw,46–6–1 (1),Sergio Mora,SD,12,"Sep 18, 2010","Staples Center, Los Angeles, California, U.S.",
53,Loss,46–6 (1),Floyd Mayweather Jr.,UD,12,"May 1, 2010","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
52,Win,46–5 (1),Antonio Margarito,TKO,"9 (12), 0:43","Jan 24, 2009","Staples Center, Los Angeles, California, U.S.",Won WBA (Super) welterweight title
51,Win,45–5 (1),Ricardo Mayorga,TKO,"12 (12), 2:59","Sep 27, 2008","Home Depot Center, Carson, California, U.S.",Won vacant WBA Inter-Continental light middleweight title
50,Loss,44–5 (1),Miguel Cotto,UD,12,"Nov 14, 2007","Madison Square Garden, New York City, New York, U.S.",For WBA welterweight title
49,Win,44–4 (1),Luis Collazo,UD,12,"Feb 10, 2007","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC interim welterweight title
48,Win,43–4 (1),Fernando Vargas,TKO,"6 (12), 2:38","Jul 15, 2006","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
47,Win,42–4 (1),Fernando Vargas,TKO,"10 (12), 1:22","Feb 25, 2006","Mandalay Bay Events Center, Paradise, Nevada, U.S.",
46,Win,41–4 (1),José Luis Cruz,UD,10,"Sep 17, 2005","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
