No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
23,Win,22–1,Arnold Barboza Jr.,UD,12,"May 2, 2025","Times Square, New York City, New York, U.S.",Retained WBO and The Ring light welterweight titles
22,Win,21–1,Steve Claggett,UD,12,"Jun 29, 2024","James L. Knight Center, Miami Beach, Florida, U.S.",Retained WBO and The Ring light welterweight titles
21,Win,20–1,Jamaine Ortiz,UD,12,"Feb 8, 2024","Michelob Ultra Arena, Paradise, Nevada, U.S.",Retained WBO and The Ring light welterweight titles
20,Win,19–1,Josh Taylor,UD,12,"Jun 10, 2023","Hulu Theater at Madison Square Garden, New York City, New York, U.S.",Won WBO and The Ring light welterweight titles
19,Win,18–1,Sandor Martín,SD,10,"Dec 10, 2022","Madison Square Garden, New York City, New York, U.S.",Retained WBO International light welterweight title
18,Win,17–1,Pedro Campa,TKO,"7 (10), 2:14","Aug 13, 2022","Resorts World Las Vegas, Winchester, Nevada, U.S.",Won vacant NABF and WBO International light welterweight titles
17,Loss,16–1,George Kambosos Jr.,SD,12,"Nov 27, 2021","Hulu Theater at Madison Square Garden, New York City, New York, U.S.","Lost WBA (Super), IBF, WBO, and The Ring lightweight titles"
16,Win,16–0,Vasiliy Lomachenko,UD,12,"Oct 17, 2020","MGM Grand Conference Center, Paradise, Nevada, U.S.","Retained IBF lightweight title; Won WBA (Super), WBO, and The Ring lightweight titles"
15,Win,15–0,Richard Commey,TKO,"2 (12), 1:13","Dec 14, 2019","Madison Square Garden, New York City, New York, U.S.",Won IBF lightweight title
14,Win,14–0,Masayoshi Nakatani,UD,12,"Jul 19, 2019","MGM National Harbor, Oxon Hill, Maryland, U.S.",
13,Win,13–0,Edis Tatli,KO,"5 (12), 1:32","Apr 20, 2019","Madison Square Garden, New York City, New York, U.S.",Retained NABF lightweight title
12,Win,12–0,Diego Magdaleno,KO,"7 (10), 1:08","Feb 2, 2019","The Ford Center at The Star, Frisco, Texas, U.S.","Retained NABA, NABF, and USBA lightweight titles"
11,Win,11–0,Mason Menard,KO,"1 (10), 0:44","Dec 8, 2018","Hulu Theater at Madison Square Garden, New York City, New York, U.S.","Won vacant NABA, NABF, and USBA lightweight titles"
10,Win,10–0,William Silva,TKO,"6 (10), 0:15","Jul 14, 2018","Lakefront Arena, New Orleans, Louisiana, U.S.",Won vacant WBC Continental Americas lightweight title
9,Win,9–0,Vitor Jones Freitas,KO,"1 (8), 1:04","May 12, 2018","Madison Square Garden, New York City, New York, U.S.",
8,Win,8–0,Juan Pablo Sanchez,UD,6,"Feb 3, 2018","American Bank Center, Corpus Christi, Texas, U.S.",
7,Win,7–0,Josh Ross,TKO,"2 (6), 1:57","Oct 13, 2017","A La Carte Event Pavilion, Tampa, Florida, U.S.",
6,Win,6–0,Christian Santibanez,UD,6,"Jul 7, 2017","A La Carte Event Pavilion, Tampa, Florida, U.S.",
5,Win,5–0,Ronald Rivas,KO,"2 (6), 2:21","May 20, 2017","Madison Square Garden, New York City, New York, U.S.",
4,Win,4–0,Jorge Luis Munguia,TKO,"2 (6), 0:48","Apr 21, 2017","Osceola Heritage Center, Kissimmee, Florida, U.S.",
3,Win,3–0,Daniel Bastien,KO,"2 (6), 0:39","Mar 17, 2017","The Theater at Madison Square Garden, New York City, New York, U.S.",
2,Win,2–0,Francisco Medel,TKO,"4 (4), 0:58","Feb 24, 2017","Tony Rosa Community Center, Palm Bay, Florida, U.S.",
1,Win,1–0,Ishwar Siqueiros,KO,"2 (4), 2:03","Nov 5, 2016","Thomas & Mack Center, Paradise, Nevada, U.S.",
