No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
41,Win,41–0,Israil Madrimov,UD,12,"Aug 3, 2024","BMO Stadium, Los Angeles, California, U.S.",Won WBA and vacant WBO interim light middleweight titles
40,Win,40–0,Errol Spence Jr.,TKO,"9 (12), 2:32","Jul 29, 2023","T-Mobile Arena, Paradise, Nevada, U.S.","Retained WBO welterweight title; Won WBA (Super), WBC, IBF, and vacant The Ring welterweight titles"
39,Win,39–0,David Avanesyan,KO,"6 (12), 2:14","Dec 10, 2022","CHI Health Center, Omaha, Nebraska, U.S.",Retained WBO welterweight title
38,Win,38–0,Shawn Porter,TKO,"10 (12), 1:21","Nov 20, 2021","Michelob Ultra Arena, Paradise, Nevada, U.S.",Retained WBO welterweight title
37,Win,37–0,Kell Brook,TKO,"4 (12), 1:14","Nov 14, 2020","MGM Grand Conference Center, Paradise, Nevada, U.S.",Retained WBO welterweight title
36,Win,36–0,Egidijus Kavaliauskas,TKO,"9 (12), 0:44","Dec 14, 2019","Madison Square Garden, New York City, New York, U.S.",Retained WBO welterweight title
35,Win,35–0,Amir Khan,TKO,"6 (12), 0:47","Apr 20, 2019","Madison Square Garden, New York City, New York, U.S.",Retained WBO welterweight title
34,Win,34–0,José Benavidez Jr.,TKO,"12 (12), 2:42","Oct 13, 2018","CHI Health Center, Omaha, Nebraska, U.S.",Retained WBO welterweight title
33,Win,33–0,Jeff Horn,TKO,"9 (12), 2:33","Jun 9, 2018","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBO welterweight title
32,Win,32–0,Julius Indongo,KO,"3 (12), 1:38","Aug 19, 2017","Pinnacle Bank Arena, Lincoln, Nebraska, U.S.","Retained WBC, WBO, and The Ring light welterweight titles; Won WBA (Super) and IBF light welterweight titles"
31,Win,31–0,Félix Díaz,RTD,"10 (12), 3:00","May 20, 2017","Madison Square Garden, New York City, New York, U.S.","Retained WBC, WBO, and The Ring light welterweight titles"
30,Win,30–0,John Molina Jr.,TKO,"8 (12), 2:32","Dec 10, 2016","CenturyLink Center, Omaha, Nebraska, U.S.","Retained WBC, WBO, and The Ring light welterweight titles"
29,Win,29–0,Viktor Postol,UD,12,"Jul 23, 2016","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBO light welterweight title; Won WBC and vacant The Ring light welterweight titles
28,Win,28–0,Hank Lundy,TKO,"5 (12), 2:09","Feb 27, 2016","The Theater at Madison Square Garden, New York City, New York, U.S.",Retained WBO light welterweight title
27,Win,27–0,Dierry Jean,TKO,"10 (12), 2:30","Oct 24, 2015","CenturyLink Center, Omaha, Nebraska, U.S.",Retained WBO light welterweight title
26,Win,26–0,Thomas Dulorme,TKO,"6 (12), 1:51","Apr 18, 2015","College Park Center, Arlington, Texas, U.S.",Won vacant WBO light welterweight title
25,Win,25–0,Ray Beltrán,UD,12,"Nov 29, 2014","CenturyLink Center, Omaha, Nebraska, U.S.",Retained WBO lightweight title; Won vacant The Ring lightweight title
24,Win,24–0,Yuriorkis Gamboa,KO,"9 (12), 2:53","Jun 28, 2014","Century Link Center, Omaha, Nebraska, U.S.",Retained WBO lightweight title
23,Win,23–0,Ricky Burns,UD,12,"Mar 1, 2014","Exhibition and Conference Centre, Glasgow, Scotland",Won WBO lightweight title
22,Win,22–0,Andrey Klimov,UD,10,"Oct 5, 2013","Amway Center, Orlando, Florida, U.S.",
21,Win,21–0,Alejandro Sanabria,TKO,"6 (10), 0:17","Jun 15, 2013","American Airlines Center, Dallas, Texas, U.S.",Won vacant WBO–NABO lightweight title
20,Win,20–0,Breidis Prescott,UD,10,"Mar 30, 2013","Mandalay Bay Events Center, Paradise, Nevada, U.S.",
19,Win,19–0,Sidney Siqueira,TKO,"6 (8), 2:47","Nov 10, 2012","Wynn Las Vegas, Paradise, Nevada, U.S.",
18,Win,18–0,Hardy Paredes,TKO,"4 (8), 0:40","Sep 13, 2012","The Joint, Paradise, Nevada, U.S.",
17,Win,17–0,David Rodela,KO,"2 (6), 2:30","Jun 8, 2012","The Joint, Paradise, Nevada, U.S.",
16,Win,16–0,Andre Gorges,KO,"5 (6), 0:44","Apr 14, 2012","Mandalay Bay Events Center, Paradise, Nevada, U.S.",
15,Win,15–0,Angel Rios,UD,8,"Sep 10, 2011","Boardwalk Hall, Atlantic City, New Jersey, U.S.",
14,Win,14–0,Derrick Campos,TKO,"2 (6), 2:31","Jul 30, 2011","Softball Country Arena, Denver, Colorado, U.S.",
13,Win,13–0,Anthony Mora,KO,"1 (6), 1:58","Feb 26, 2011","Heartland Events Center, Grand Island, Nebraska, U.S.",
12,Win,12–0,Ron Boyd,TKO,"1 (6), 2:28","Jul 31, 2010","Sovereign Bank Stadium, York, Pennsylvania, U.S.",
11,Win,11–0,Marty Robbins,KO,"3 (6), 0:51","May 1, 2010","Johnson County Fairgrounds, Iowa City, Iowa, U.S.",
10,Win,10–0,Corey Sommerville,TKO,"2 (4), 1:25","Dec 19, 2009","Cotton Eyed Joe, Knoxville, Tennessee, U.S.",
9,Win,9–0,Steve Marquez,TKO,"1 (4), 2:35","Oct 31, 2009","Cambria County War Memorial Arena, Johnstown, Pennsylvania, U.S.",
8,Win,8–0,Miguel Delgado,TKO,"3 (4), 1:02","May 2, 2009","Cambria County War Memorial Arena, Johnstown, Pennsylvania, U.S.",
7,Win,7–0,Lucas Rodas,KO,"1 (4), 1:52","Mar 21, 2009","U.S. Bank Arena, Cincinnati, Ohio, U.S.",
6,Win,6–0,Travis Hartman,UD,4,"Mar 7, 2009","Valencia Ballroom, York, Pennsylvania, U.S.",
5,Win,5–0,Michael Williams,TKO,"2 (4), 1:14","Nov 8, 2008","Valencia Ballroom, York, Pennsylvania, U.S.",
4,Win,4–0,Aaron Anderson,UD,4,"Aug 22, 2008","Johnson County Fairgrounds, Iowa City, Iowa, U.S.",
3,Win,3–0,Damon Antoine,UD,4,"Jul 26, 2008","Valencia Ballroom, York, Pennsylvania, U.S.",
2,Win,2–0,Filiberto Nieto,RTD,"1 (4), 3:00","Apr 3, 2008","Michael's Eighth Avenue, Glen Burnie, Maryland, U.S.",
1,Win,1–0,Brian Cummings,KO,"1 (4), 0:26","Mar 14, 2008","Athletic Club, Denver, Colorado, U.S.",
