No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
37,Loss,34–2–1,Oleksandr Usyk,UD,12,21 Dec 2024,"Kingdom Arena, Riyadh, Saudi Arabia","For WBA (Super), WBC, WBO, IBO and The Ring heavyweight titles"
36,Loss,34–1–1,Oleksandr Usyk,SD,12,18 May 2024,"Kingdom Arena, Riyadh, Saudi Arabia","Lost WBC heavyweight title; For WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
35,Win,34–0–1,Francis Ngannou,SD,10,28 Oct 2023,"Kingdom Arena, Riyadh, Saudi Arabia",
34,Win,33–0–1,Derek Chisora,TKO,"10 (12), 2:51",3 Dec 2022,"Tottenham Hotspur Stadium, London, England",Retained WBC heavyweight title
33,Win,32–0–1,Dillian Whyte,TKO,"6 (12), 2:59",23 Apr 2022,"Wembley Stadium, London, England",Retained WBC and The Ring heavyweight titles
32,Win,31–0–1,Deontay Wilder,KO,"11 (12), 1:10",9 Oct 2021,"T-Mobile Arena, Paradise, Nevada, US",Retained WBC and The Ring heavyweight titles
31,Win,30–0–1,Deontay Wilder,TKO,"7 (12), 1:39",22 Feb 2020,"MGM Grand Garden Arena, Paradise, Nevada, US",Won WBC and vacant The Ring heavyweight titles
30,Win,29–0–1,Otto Wallin,UD,12,14 Sep 2019,"T-Mobile Arena, Paradise, Nevada, US",
29,Win,28–0–1,Tom Schwarz,TKO,"2 (12), 2:54",15 Jun 2019,"MGM Grand Garden Arena, Paradise, Nevada, US",Won WBO Inter-Continental heavyweight title
28,Draw,27–0–1,Deontay Wilder,SD,12,1 Dec 2018,"Staples Center, Los Angeles, California, US",For WBC heavyweight title
27,Win,27–0,Francesco Pianeta,PTS,10,18 Aug 2018,"Windsor Park, Belfast, Northern Ireland",
26,Win,26–0,Sefer Seferi,RTD,"4 (10), 3:00",9 Jun 2018,"Manchester Arena, Manchester, England",
25,Win,25–0,Wladimir Klitschko,UD,12,28 Nov 2015,"Esprit Arena, Düsseldorf, Germany","Won WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
24,Win,24–0,Christian Hammer,RTD,"8 (12), 3:00",28 Feb 2015,"The O2 Arena, London, England",Retained WBO International heavyweight title
23,Win,23–0,Derek Chisora,RTD,"10 (12), 3:00",29 Nov 2014,"ExCeL, London, England","Won European, WBO International, and vacant British heavyweight titles"
22,Win,22–0,Joey Abell,TKO,"4 (10), 1:48",15 Feb 2014,"Copper Box Arena, London, England",
21,Win,21–0,Steve Cunningham,KO,"7 (12), 2:55",20 Apr 2013,"The Theater at Madison Square Garden, New York City, New York, US",
20,Win,20–0,Kevin Johnson,UD,12,1 Dec 2012,"Odyssey Arena, Belfast, Northern Ireland",
19,Win,19–0,Vinny Maddalone,TKO,"5 (12), 1:35",7 Jul 2012,"Hand Arena, Clevedon, England",Won vacant WBO Inter-Continental heavyweight title
18,Win,18–0,Martin Rogan,TKO,"5 (12), 3:00",14 Apr 2012,"Odyssey Arena, Belfast, Northern Ireland",Won vacant Irish heavyweight title
17,Win,17–0,Neven Pajkić,TKO,"3 (12), 2:44",12 Nov 2011,"EventCity, Manchester, England",Retained Commonwealth heavyweight title
16,Win,16–0,Nicolai Firtha,TKO,"5 (12), 2:19",18 Sep 2011,"King's Hall, Belfast, Northern Ireland",
15,Win,15–0,Derek Chisora,UD,12,23 Jul 2011,"Wembley Arena, London, England",Won British and Commonwealth heavyweight titles
14,Win,14–0,Marcelo Luiz Nascimento,KO,"5 (10), 2:48",19 Feb 2011,"Wembley Arena, London, England",
13,Win,13–0,Zack Page,UD,8,19 Dec 2010,"Colisée Pepsi, Quebec City, Quebec, Canada",
12,Win,12–0,Rich Power,PTS,8,10 Sep 2010,"York Hall, London, England",
11,Win,11–0,John McDermott,TKO,"9 (12), 1:08",25 Jun 2010,"Brentwood Centre Arena, Brentwood, England",Won vacant English heavyweight title
10,Win,10–0,Hans-Jörg Blasko,TKO,"1 (8), 2:14",5 Mar 2010,"Leisure Centre, Huddersfield, England",
9,Win,9–0,Tomas Mrazek,PTS,6,26 Sep 2009,"The O2, Dublin, Ireland",
8,Win,8–0,John McDermott,PTS,10,11 Sep 2009,"Brentwood Centre Arena, Brentwood, England",Won English heavyweight title
7,Win,7–0,Aleksandrs Selezens,TKO,"3 (6), 0:48",18 Jul 2009,"York Hall, London, England",
6,Win,6–0,Scott Belshaw,TKO,"2 (8), 0:52",23 May 2009,"Colosseum, Watford, England",
5,Win,5–0,Matthew Ellis,KO,"1 (6), 0:48",11 Apr 2009,"York Hall, London, England",
4,Win,4–0,Lee Swaby,RTD,"4 (6), 3:00",14 Mar 2009,"Aston Events Centre, Birmingham, England",
3,Win,3–0,Daniil Peretyatko,RTD,"2 (6), 3:00",28 Feb 2009,"Showground, Norwich, England",
2,Win,2–0,Marcel Zeller,TKO,"3 (6), 2:50",17 Jan 2009,"DW Stadium, Wigan, England",
1,Win,1–0,Béla Gyöngyösi,TKO,"1 (6), 2:14",6 Dec 2008,"National Ice Centre, Nottingham, England",
