No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
47,Win,45–2,Manuel Charr,TKO,"4 (12), 2:04",8 Sep 2012,"41 years, 51 days","Olympic Stadium, Moscow, Russia",Retained WBC heavyweight title
46,Win,44–2,Derek Chisora,UD,12,18 Feb 2012,"40 years, 214 days","Olympiahalle, Munich, Germany",Retained WBC heavyweight title
45,Win,43–2,Tomasz Adamek,TKO,"10 (12), 2:20",10 Sep 2011,"40 years, 53 days","Stadion Miejski, Wrocław, Poland",Retained WBC heavyweight title
44,Win,42–2,Odlanier Solís,KO,"1 (12), 3:00",19 Mar 2011,"39 years, 243 days","Lanxess Arena, Cologne, Germany",Retained WBC heavyweight title
43,Win,41–2,Shannon Briggs,UD,12,16 Oct 2010,"39 years, 89 days","O2 World, Hamburg, Germany",Retained WBC heavyweight title
42,Win,40–2,Albert Sosnowski,KO,"10 (12), 2:30",29 May 2010,"38 years, 314 days","Veltins-Arena, Gelsenkirchen, Germany",Retained WBC heavyweight title
41,Win,39–2,Kevin Johnson,UD,12,12 Dec 2009,"38 years, 146 days","PostFinance Arena, Bern, Switzerland",Retained WBC heavyweight title
40,Win,38–2,Chris Arreola,RTD,"10 (12), 3:00",26 Sep 2009,"38 years, 69 days","Staples Center, Los Angeles, California, US",Retained WBC heavyweight title
39,Win,37–2,Juan Carlos Gómez,TKO,"9 (12), 1:49",21 Mar 2009,"37 years, 245 days","Hanns-Martin-Schleyer-Halle, Stuttgart, Germany",Retained WBC heavyweight title
38,Win,36–2,Samuel Peter,RTD,"8 (12), 3:00",11 Oct 2008,"37 years, 84 days","O2 World, Berlin, Germany",Won WBC heavyweight title
37,Win,35–2,Danny Williams,TKO,"8 (12), 1:26",11 Dec 2004,"33 years, 145 days","Mandalay Bay Events Center, Paradise, Nevada, US",Retained WBC and The Ring heavyweight titles
36,Win,34–2,Corrie Sanders,TKO,"8 (12), 2:46",24 Apr 2004,"32 years, 280 days","Staples Center, Los Angeles, California, US",Won vacant WBC and The Ring heavyweight titles
35,Win,33–2,Kirk Johnson,TKO,"2 (12), 2:54",6 Dec 2003,"32 years, 140 days","Madison Square Garden, New York City, New York, US",
34,Loss,32–2,Lennox Lewis,TKO,"6 (12), 3:00",21 Jun 2003,"31 years, 337 days","Staples Center, Los Angeles, California, US","For WBC, IBO, and The Ring heavyweight titles"
33,Win,32–1,Larry Donald,TKO,"10 (12), 2:35",23 Nov 2002,"31 years, 127 days","Westfalenhallen, Dortmund, Germany",Retained WBA Inter-Continental heavyweight title
32,Win,31–1,Vaughn Bean,TKO,"11 (12), 1:40",8 Feb 2002,"30 years, 204 days","Volkswagen Halle, Braunschweig, Germany",Retained WBA Inter-Continental heavyweight title
31,Win,30–1,Ross Puritty,TKO,"11 (12), 1:16",8 Dec 2001,"30 years, 142 days","König Pilsener Arena, Oberhausen, Germany",Retained WBA Inter-Continental heavyweight title
30,Win,29–1,Orlin Norris,KO,"1 (12), 1:09",27 Jan 2001,"29 years, 192 days","Rudi-Sedlmayer-Halle, Munich, Germany",Won vacant WBA Inter-Continental heavyweight title
29,Win,28–1,Timo Hoffmann,UD,12,25 Nov 2000,"29 years, 129 days","Preussag Arena, Hanover, Germany",Won vacant European heavyweight title
28,Loss,27–1,Chris Byrd,RTD,"9 (12), 3:00",1 Apr 2000,"28 years, 257 days","Estrel Hotel, Berlin, Germany",Lost WBO heavyweight title
27,Win,27–0,Obed Sullivan,RTD,"9 (12), 3:00",11 Dec 1999,"28 years, 145 days","Alsterdorfer Sporthalle, Hamburg, Germany",Retained WBO heavyweight title
26,Win,26–0,Ed Mahone,TKO,"3 (12), 1:45",9 Oct 1999,"28 years, 82 days","Arena Oberhausen, Oberhausen, Germany",Retained WBO heavyweight title
25,Win,25–0,Herbie Hide,KO,"2 (12), 1:14",26 Jun 1999,"27 years, 342 days","London Arena, London, England",Won WBO heavyweight title
24,Win,24–0,Ismael Youla,TKO,"2 (12), 1:30",20 Feb 1999,"27 years, 216 days","Alsterdorfer Sporthalle, Hamburg, Germany",Retained European heavyweight title
23,Win,23–0,Francesco Spinelli,TKO,"1 (12), 1:49",5 Dec 1998,"27 years, 139 days","Palace of Sports, Kyiv, Ukraine",Retained European heavyweight title
