No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
69,Loss,64–5,Anthony Joshua,TKO,"11 (12), 2:25",29 Apr 2017,"41 years, 35 days","Wembley Stadium, London, England","For IBF, vacant WBA (Super) and IBO heavyweight titles"
68,Loss,64–4,Tyson Fury,UD,12,28 Nov 2015,"39 years, 248 days","Esprit Arena, Düsseldorf, Germany","Lost WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
67,Win,64–3,Bryant Jennings,UD,12,25 Apr 2015,"39 years, 32 days","Madison Square Garden, New York City, New York, US","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
66,Win,63–3,Kubrat Pulev,KO,"5 (12), 2:11",15 Nov 2014,"38 years, 235 days","O2 World, Hamburg, Germany","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
65,Win,62–3,Alex Leapai,TKO,"5 (12), 2:05",26 Apr 2014,"38 years, 32 days","König Pilsener Arena, Oberhausen, Germany","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
64,Win,61–3,Alexander Povetkin,UD,12,5 Oct 2013,"37 years, 194 days","Olympic Stadium, Moscow, Russia","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
63,Win,60–3,Francesco Pianeta,TKO,"6 (12), 2:52",4 May 2013,"37 years, 40 days","SAP Arena, Mannheim, Germany","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
62,Win,59–3,Mariusz Wach,UD,12,10 Nov 2012,"36 years, 230 days","O2 World, Hamburg, Germany","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
61,Win,58–3,Tony Thompson,TKO,"6 (12), 1:12",7 Jul 2012,"36 years, 104 days","Stade de Suisse, Bern, Switzerland","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
60,Win,57–3,Jean-Marc Mormeck,KO,"4 (12), 1:12",3 Mar 2012,"35 years, 344 days","Esprit Arena, Düsseldorf, Germany","Retained WBA (Super), IBF, WBO, IBO, and The Ring heavyweight titles"
59,Win,56–3,David Haye,UD,12,2 Jul 2011,"35 years, 99 days","Volksparkstadion, Hamburg, Germany","Retained IBF, WBO, IBO, and The Ring heavyweight titles; Won WBA (Unified) heavyweight title"
58,Win,55–3,Samuel Peter,KO,"10 (12), 1:22",11 Sep 2010,"34 years, 170 days","Commerzbank-Arena, Frankfurt, Germany","Retained IBF, WBO, IBO, and The Ring heavyweight titles"
57,Win,54–3,Eddie Chambers,KO,"12 (12), 2:55",20 Mar 2010,"33 years, 360 days","Esprit Arena, Düsseldorf, Germany","Retained IBF, WBO, IBO, and The Ring heavyweight titles"
