No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
56,Loss,44–10 (2),Cletus Seldin,TKO,"11 (12), 1:40","Jun 7, 2019","Turning Stone Resort & Casino, Verona, New York, U.S.",For vacant NABA light welterweight title
55,Win,44–9 (2),Noel Mejia Rincon,UD,10,"Jan 27, 2018","Grey Eagle Resort & Casino, Calgary, Alberta, Canada",
54,Win,43–9 (2),Jorge Luis Munguia,TKO,"2 (10), 1:27","Jan 21, 2017","Sun National Bank Center, Trenton, New Jersey, U.S.",
53,Loss,42–9 (2),Paulie Malignaggi,UD,12,"Dec 7, 2013","Barclays Center, New York City, New York, U.S.",For vacant NABF welterweight title
52,Loss,42–8 (2),Danny Garcia,UD,12,"Apr 27, 2013","Barclays Center, New York City, New York, U.S.","For WBA (Super), WBC, and The Ring light welterweight titles"
51,Win,42–7 (2),Vernon Paris,TKO,"9 (12), 2:07","Mar 24, 2012","Aviator Sports & Events Center, New York City, New York, U.S.",
50,Loss,41–7 (2),Amir Khan,KO,"5 (12), 2:47","Jul 23, 2011","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Lost IBF light welterweight title; For WBA (Super) light welterweight title
49,Win,41–6 (2),Kaizer Mabuza,TKO,"7 (12), 0:59","Mar 5, 2011","Prudential Center, Newark, New Jersey, U.S.",Won vacant IBF light welterweight title
48,Win,40–6 (2),Lucas Matthysse,SD,12,"Nov 6, 2010","Prudential Center, Newark, New Jersey, U.S.",Won vacant NABO light welterweight title
47,Win,39–6 (2),José Santa Cruz,TKO,"3 (10), 2:33","Jul 16, 2010","Prudential Center, Newark, New Jersey, U.S.",
46,Win,38–6 (2),Ubaldo Hernandez,TKO,"2 (10), 0:35","Nov 6, 2009","Palms Casino Resort, Paradise, Nevada, U.S.",
45,Win,37–6 (2),Ernest Johnson,UD,10,"Nov 8, 2008","Madison Square Garden, New York City, New York, U.S.",
44,Loss,36–6 (2),Joshua Clottey,TD,"9 (12), 1:12","Aug 2, 2008","Pearl Concert Theater, Paradise, Nevada, U.S.",For vacant IBF welterweight title; Unanimous TD: Judah cut from an accidental head clash
